target,source,label
gLLPQcdcfeffqsjeqvf,fLLQccceddepwxwjn,Face: 10
gLLPQcdcfeefqcjqawj,fLLQccceddepwxwjn,Face: 9
gLALQbcbeeffhhwcvqn,fLLQccceddepwxwjn,Face: 8
gLLAQcbdeefflnbmtwr,fLLQccceddepwxwjn,Face: 7
hLLAAkbdedffggtvprxbmr,gLLPQcdcfeffqsjeqvf,Face: 12
hLLAAkcedeefgghlvaexhr,gLLPQcdcfeffqsjeqvf,Face: 7
hLLAAkbcdeefggxbraawqj,gLLPQcdcfeffqsjeqvf,Face: 6
hLLAAkbddeefggxvrdtnhr,gLLPQcdcfeffqsjeqvf,Face: 1
hLLMAkacedffggjktrkbqn,gLLPQcdcfeefqcjqawj,Face: 12
hLLAAkaeddefggjiadcoxk,gLLPQcdcfeefqcjqawj,Face: 7
hLALPkbcbefgggxxnniabv,gLALQbcbeeffhhwcvqn,Face: 7
hLLAAkbdedffggtvprxbmr,gLLAQcbdeefflnbmtwr,Face: 12
hLLAAkbdceffgghgsqpgqn,gLLAQcbdeefflnbmtwr,Face: 11
hLLMPkacdefgfgjkanjirj,gLLAQcbdeefflnbmtwr,Face: 9
gLLAQcbdeefflnbmtwr,hLLAAkbdedffggtvprxbmr,Edge: 11
iLLMPMcbddegfghhxvrqrfcqr,hLLAAkbdedffggtvprxbmr,Face: 6
iLLLPQcacgehfhghjkbwdkukl,hLLAAkbdedffggtvprxbmr,Face: 4
iLLAMMccdeefgghhhrmaiccqr,hLLAAkcedeefgghlvaexhr,Face: 14
iLLLQMcccfgfefhhqfahtnfqj,hLLAAkcedeefgghlvaexhr,Face: 6
iLLMAMcbdedffghhlkaflodxn,hLLAAkbcdeefggxbraawqj,Face: 6
iLLLQMcbedeffghhahfuxwsqj,hLLAAkbcdeefggxbraawqj,Face: 3
iLLMPMcbddegfghhxvrqrfcqr,hLLAAkbddeefggxvrdtnhr,Face: 14
iLLLMQcacdghfhghjkrkpkqwp,hLLMAkacedffggjktrkbqn,Face: 13
iLLLMQccddefhgghlgfqfinwj,hLLMAkacedffggjktrkbqn,Face: 12
iLLwMQccbefhfgghqnhabggjr,hLLMAkacedffggjktrkbqn,Face: 8
iLLAPMcaddegfghhjuahmcarn,hLLAAkaeddefggjiadcoxk,Face: 14
iLLLMQccddefhgghlgfqfinwj,hLLAAkaeddefggjiadcoxk,Face: 11
iLLLQMcccfgfefhhqfahtnfqj,hLLAAkaeddefggjiadcoxk,Face: 9
iLLMAMcbdedffghhlkaflodxn,hLALPkbcbefgggxxnniabv,Face: 9
iLAwLQcbcbdfhghhhhwqbqifr,hLALPkbcbefgggxxnniabv,Face: 6
iLALLQccbbefhghhhhroxjfff,hLALPkbcbefgggxxnniabv,Face: 4
iLLMMPcbddefgghhtvjimtiwr,hLLAAkbdceffgghgsqpgqn,Face: 12
iLLwMQccbefhfgghqnhabggjr,hLLAAkbdceffgghgsqpgqn,Face: 7
iLLLMQcbdfffghghxvqqnknkw,hLLAAkbdceffgghgsqpgqn,Face: 6
iLvAQPcadfeggfhhjaacvkjqw,hLLMPkacdefgfgjkanjirj,Face: 5
hLLAAkbddeefggxvrdtnhr,iLLMPMcbddegfghhxvrqrfcqr,Edge: 10
jLLLAPQcdfefgiihilfdxdsexwj,iLLLPQcacgehfhghjkbwdkukl,Face: 9
jLLvQMQcdhegfghiihriagkromj,iLLLPQcacgehfhghjkbwdkukl,Face: 6
jLLALPQcdeehgiihihrmacommgm,iLLAMMccdeefgghhhrmaiccqr,Face: 15
jLLALPQcdeehghiiitrhacrsdxx,iLLAMMccdeefgghhhrmaiccqr,Face: 14
jLLLPAQccgehffhiiqfdugfnkxj,iLLAMMccdeefgghhhrmaiccqr,Face: 9
jLLvQMQcdhegfghiihriagkromj,iLLAMMccdeefgghhhrmaiccqr,Face: 6
hLLAAkaeddefggjiadcoxk,iLLLQMcccfgfefhhqfahtnfqj,Edge: 12
jLLLPAQccgehffhiiqfdugfnkxj,iLLLQMcccfgfefhhqfahtnfqj,Face: 16
hLALPkbcbefgggxxnniabv,iLLMAMcbdedffghhlkaflodxn,Edge: 12
hLLMAkbddeefggajriijqj,iLLLQMcbedeffghhahfuxwsqj,Edge: 12
jLLLMMQbedeghghiixafebrgclj,iLLLQMcbedeffghhahfuxwsqj,Face: 16
jLLLMAQbedghhgihiaafhfjsxfk,iLLLQMcbedeffghhahfuxwsqj,Face: 2
