target,source,label
gLLPQcdcfeffqsnlqgj,fLAMcbccdeemejlxj,Face: 10
gLLPQcdcfeffqonuqgj,fLAMcbccdeemejlxj,Face: 9
gLALQbcbfeffhhjhvxq,fLAMcbccdeemejlxj,Face: 6
gLLAQbcdeeffmvfxukr,fLAMcbccdeemejlxj,Face: 5
hLLAAkccdeefgghkvaqchj,gLLPQcdcfeffqsnlqgj,Face: 12
hLLMAkbddeffggmkfxarpj,gLLPQcdcfeffqsnlqgj,Face: 11
hLvPQkccefggfgqnmhunff,gLLPQcdcfeffqsnlqgj,Face: 10
hLLAAkccedefggdwxkdjxj,gLLPQcdcfeffqsnlqgj,Face: 1
hLLAAkbcdeefggpjgplwhn,gLLPQcdcfeffqonuqgj,Face: 12
hLLAAkbddeefggxrrxqbqn,gLLPQcdcfeffqonuqgj,Face: 11
hLLMAkbddeffggmvoxarpj,gLLPQcdcfeffqonuqgj,Face: 9
hLLMMkcddeffggdgntxkan,gLLPQcdcfeffqonuqgj,Face: 8
hLLAAkccedefggdwxvdkhs,gLLPQcdcfeffqonuqgj,Face: 2
hLALPkbcbefgggxxjndanf,gLALQbcbfeffhhjhvxq,Face: 12
hLALPkbcbffgggxxjuttar,gLALQbcbfeffhhjhvxq,Face: 11
hLLMAkbddeffggmkfxarpj,gLLAQbcdeeffmvfxukr,Face: 12
hLLMMkccdfefggdfvqlkan,gLLAQbcdeeffmvfxukr,Face: 11
hLLMAkbddeffggmvoxarpj,gLLAQbcdeeffmvfxukr,Face: 10
hLLMMkccdfefgghgvlifur,gLLAQbcdeeffmvfxukr,Face: 7
iLLMAMcbdedffghhdvaflodxj,hLLAAkccdeefgghkvaqchj,Face: 6
iLLLQMcbedeffghhahfdxgsqn,hLLAAkccdeefgghkvaqchj,Face: 3
gLLAQbcdeeffmvfxukr,hLLMAkbddeffggmkfxarpj,Edge: 11
iLLLPQccdefgghghqfadkbnnr,hLLMAkbddeffggmkfxarpj,Face: 5
iLLLPQcacgfhgfhhnkbodjkul,hLLMAkbddeffggmkfxarpj,Face: 4
iLLwPQcacefhgghhnktkixxtk,hLvPQkccefggfgqnmhunff,Face: 14
iLvPMQcccegfhghhqnthvkokb,hLvPQkccefggfgqnmhunff,Face: 6
iLLLPQccdefgghghqfadkbnnr,hLLAAkccedefggdwxkdjxj,Face: 13
iLLALQccdechghghqshnhbpjq,hLLAAkccedefggdwxkdjxj,Face: 2
iLLPMPcbceefgghhpjpelnstn,hLLAAkbcdeefggpjgplwhn,Face: 14
iLvPMQcccegfhghhqnthvkokb,hLLAAkbcdeefggpjgplwhn,Face: 9
iLLAAMcbdedffghhmvxgxciqn,hLLAAkbcdeefggpjgplwhn,Face: 7
iLLLAQcbddgfghghhofegvpgj,hLLAAkbddeefggxrrxqbqn,Face: 14
iLALLQccbbehhgghhhkomfofg,hLLAAkbddeefggxrrxqbqn,Face: 5
iLLPPMccdfeffghhaklptkohj,hLLAAkbddeefggxrrxqbqn,Face: 2
