target,source,label
gLALQbcbeeffhxwnkqw,fLAMcbbcdeeemkqhr,Face: 10
gLAMPaccdeffjgbqqxk,fLAMcbbcdeeemkqhr,Face: 9
gLLPQcdcefffqsjpqnw,fLAMcbbcdeeemkqhr,Face: 8
gLALQbcbeeffxhncvas,fLAMcbbcdeeemkqhr,Face: 7
hLLMAkaddeefggjuadjnhr,gLALQbcbeeffhxwnkqw,Face: 10
hLLAAkacdeefggjkadjlhw,gLAMPaccdeffjgbqqxk,Face: 10
hLLAAkcedefegglhvaxaqj,gLLPQcdcefffqsjpqnw,Face: 11
hLLAAkbcedefggtsafashw,gLLPQcdcefffqsjpqnw,Face: 10
hLLMMkbcdfefgglrsitrmj,gLLPQcdcefffqsjpqnw,Face: 7
hLLAMkbdedffggdwugaoxn,gLLPQcdcefffqsjpqnw,Face: 6
fLAMcaccdeejsnaqj,gLALQbcbeeffxhncvas,Edge: 9
iLLMLQccbefgfghhpnahbcbnj,hLLMAkaddeefggjuadjnhr,Face: 12
iLLPPMcccdegffhhqfribfnxn,hLLMAkaddeefggjuadjnhr,Face: 8
iLLzAQccdcegfghhqsjqsrklj,hLLMAkaddeefggjuadjnhr,Face: 7
iLLMAMcbcdeffghhdfbmufmhr,hLLAAkacdeefggjkadjlhw,Face: 8
iLLPAMccdcfefghhqsjatnhhr,hLLAAkacdeefggjkadjlhw,Face: 4
iLLLMQcbddfgfghhxjflvonek,hLLAAkcedefegglhvaxaqj,Face: 13
iLLPwQcceeffhhhglhadabokj,hLLAAkcedefegglhvaxaqj,Face: 12
iLLPPMcccdegffhhqfribfnxn,hLLAAkcedefegglhvaxaqj,Face: 5
iLLLQMcbdegefghhdwmplkodn,hLLAAkbcedefggtsafashw,Face: 12
iLLMAMcbcdeffghhdfbmufmhr,hLLAAkbcedefggtsafashw,Face: 5
iLLLMQcbddfgfghhxjflvonek,hLLMMkbcdfefgglrsitrmj,Face: 13
iLLMLQcbcefgfghhdvumcofnj,hLLMMkbcdfefgglrsitrmj,Face: 4
iLvLQQcaefhghfghnxbrwrkwr,hLLAMkbdedffggdwugaoxn,Face: 13
iLLLQMcbdegefghhdwmplkodn,hLLAMkbdedffggdwugaoxn,Face: 12
iLLAzQcbdedfhghhdwugrufiq,hLLAMkbdedffggdwugaoxn,Face: 8
iLLLMQccddffgghhlkwtkooej,hLLAMkbdedffggdwugaoxn,Face: 4
gLLAQaedeeffnmuefsr,fLAMcaccdeejsnaqj,Face: 9
gLLAQbceeefftsxpihw,fLAMcaccdeejsnaqj,Face: 5
gLLPQcdcfeefhcrhawn,fLAMcaccdeejsnaqj,Face: 1
jLLLLQQbdefhhggiihgpbojswgj,iLLMLQccbefgfghhpnahbcbnj,Face: 12
jLLMLMQaceffgihhijktbjhsbkr,iLLMLQccbefgfghhpnahbcbnj,Face: 11
hLLAAkcedefegglhvaxaqj,iLLPPMcccdegffhhqfribfnxn,Edge: 12
