target,source,label
gLLAQcceeeffubiqdxj,fLAMcaccdeennbqqn,Face: 9
gLALQbcbeeffxxjgbqj,fLAMcaccdeennbqqn,Face: 7
gLLAQacdeeffnkudwij,fLAMcaccdeennbqqn,Face: 6
gLLAQacdefefnbxahkj,fLAMcaccdeennbqqn,Face: 5
hLLAAkbddeefggxwnxxbqn,gLLAQcceeeffubiqdxj,Face: 12
hLLLQkbdegeggftviutssj,gLLAQcceeeffubiqdxj,Face: 11
hLLLQkbefegggfluquhxwn,gLLAQcceeeffubiqdxj,Face: 10
hLALPkbcbffgggxxjehtac,gLALQbcbeeffxxjgbqj,Face: 11
hLLLQkbdegeggftviutssj,gLLAQacdeeffnkudwij,Face: 11
hLLAMkcedefgfgqpvthwjj,gLLAQacdeeffnkudwij,Face: 7
hLLAAkaddeefggjiapcfhn,gLLAQacdefefnbxahkj,Face: 11
hLLMAkcbedffggpjajmodr,gLLAQacdefefnbxahkj,Face: 9
iLLPMMcccdfefghhlbnaqrexr,hLLAAkbddeefggxwnxxbqn,Face: 9
iLLAMMccddeffghhtrvaqsuqn,hLLAAkbddeefggxwnxxbqn,Face: 6
iLLPAMccdeffeghhqrddqqxxr,hLLAAkbddeefggxwnxxbqn,Face: 4
gLLAQacdeeffnkudwij,hLLLQkbdegeggftviutssj,Edge: 11
iLLAwQcbdedfgghhevxslxiww,hLLLQkbdegeggftviutssj,Face: 8
iLvAMQcbeffhfgghhaqxhcvjn,hLLLQkbefegggfluquhxwn,Face: 6
iLALLQcbcbffgghhhhjteennk,hLALPkbcbffgggxxjehtac,Face: 6
iLLPMMcccdfefghhlbnaqrexr,hLALPkbcbffgggxxjehtac,Face: 5
iLLLAQcbcfgfehhhebpahrlqx,hLLAMkcedefgfgqpvthwjj,Face: 10
iLLALQcbdcefgghhlvwqvcrpr,hLLAMkcedefgfgqpvthwjj,Face: 7
iLLAwQcbdeefhgghevdpaunkr,hLLAMkcedefgfgqpvthwjj,Face: 6
iLLLAQccddfgfhghtwfqgfunr,hLLAAkaddeefggjiapcfhn,Face: 11
iLvAMQcbeffhfgghhaqxhcvjn,hLLAAkaddeefggjiapcfhn,Face: 8
iLLLAQccddfgfhghtwfqgfunr,hLLMAkcbedffggpjajmodr,Face: 12
iLLLAQccddfehhghtgfanauka,hLLMAkcbedffggpjajmodr,Face: 10
iLLLAQcacdfgfhghnkwrjkmnn,hLLMAkcbedffggpjajmodr,Face: 6
