target,source,label
gLALQbcbeeffhhjsjhn,fLAMcbbcdeeemkxxj,Face: 10
gLAMPaccdeffjgbqhhj,fLAMcbbcdeeemkxxj,Face: 9
gLLPQcdcefffhsnalwn,fLAMcbbcdeeemkxxj,Face: 8
gLALQbcbeeffxxjgban,fLAMcbbcdeeemkxxj,Face: 7
hLLMAkaddeefggjuadjvxj,gLALQbcbeeffhhjsjhn,Face: 10
hLLAAkacdeefggjkadjdqn,gLAMPaccdeffjgbqhhj,Face: 10
hLLAAkcedefegglhvahahn,gLLPQcdcefffhsnalwn,Face: 11
hLLAAkbcedefggtsafaoqn,gLLPQcdcefffhsnalwn,Face: 10
hLLAAkbddeffggdwgumvew,gLLPQcdcefffhsnalwn,Face: 5
fLAMcaccdeejsnqhn,gLALQbcbeeffxxjgban,Edge: 9
iLLPLQcccdffhgghqvfashokk,hLLMAkaddeefggjuadjvxj,Face: 8
iLLPPPccdcfegghhhsnangsps,hLLMAkaddeefggjuadjvxj,Face: 7
iLLMPMcaceefgghhnktfvahvr,hLLAAkacdeefggjkadjdqn,Face: 13
iLLMAMcbcdeffghhdfbmufuxj,hLLAAkacdeefggjkadjdqn,Face: 8
iLLPAMccdcfefghhhsnmqwxxk,hLLAAkacdeefggjkadjdqn,Face: 4
iLLLQMccdffegfhhtfuaiwfqn,hLLAAkcedefegglhvahahn,Face: 6
iLLPLQcccdffhgghqvfashokk,hLLAAkcedefegglhvahahn,Face: 5
iLLLPQcccehgfgghqfaqfnjon,hLLAAkcedefegglhvahahn,Face: 4
iLLMLQcaceffghhhnktgfauks,hLLAAkbcedefggtsafaoqn,Face: 13
iLLAPPcceddgfghhtivngsfmr,hLLAAkbcedefggtsafaoqn,Face: 11
iLLMAMcbcdeffghhdfbmufuxj,hLLAAkbcedefggtsafaoqn,Face: 5
iLLLQMcbdeeggghhdwhhigoxr,hLLAAkbcedefggtsafaoqn,Face: 4
iLLAPPcceddgfghhtivngsfmr,hLLAAkbddeffggdwgumvew,Face: 12
iLLALQcbddeghghhdwgunxkul,hLLAAkbddeffggdwgumvew,Face: 9
iLLLQPccddefgghhlokirkkir,hLLAAkbddeffggdwgumvew,Face: 4
gLLQPacdeeffjkdlcpw,fLAMcaccdeejsnqhn,Face: 9
gLLAQcceeefflnmqmxj,fLAMcaccdeejsnqhn,Face: 5
gLLQPacdedffjsxanqw,fLAMcaccdeejsnqhn,Face: 1
hLLAAkcedefegglhvahahn,iLLPLQcccdffhgghqvfashokk,Edge: 12
jLvzMQQccfeghiihihnhnfrnffr,iLLPLQcccdffhgghqvfashokk,Face: 6
jLvAMQPadfdgfghiinxxrgbraqw,iLLPPPccdcfegghhhsnangsps,Face: 5
jLLLQzQcddfgfhhiitgfawgatwr,iLLMPMcaceefgghhnktfvahvr,Face: 15
jLLLMPQcddegghhiilgfmnjxefj,iLLMPMcaceefgghhnktfvahvr,Face: 12
jLLMMMPaceefgghiinktfsuaohw,iLLMPMcaceefgghhnktfvahvr,Face: 8
hLLAAkbcedefggtsafaoqn,iLLMAMcbcdeffghhdfbmufuxj,Edge: 12
jLLLMPQcddegghhiilgfmnjxefj,iLLMAMcbcdeffghhdfbmufuxj,Face: 15
jLLMMMPaceefgghiinktfsuaohw,iLLPAMccdcfefghhhsnmqwxxk,Face: 15
jLLPzQPcdcfgfghiihsrasfoaqn,iLLPAMccdcfefghhhsnmqwxxk,Face: 8
jLvzMQQccfeghiihihnhnfrnffr,iLLLQMccdffegfhhtfuaiwfqn,Face: 10
jLLLLQQcedeghiihiqqfnjbbbbf,iLLLQMccdffegfhhtfuaiwfqn,Face: 9
jLLLLQQcedeghiihiqqfnjbbbbf,iLLLPQcccehgfgghqfaqfnjon,Face: 8
jLvPLQQccefgihihiqnackcbgkw,iLLLPQcccehgfgghqfaqfnjon,Face: 5
jLLLMPQcddfgighiitgfafanxjr,iLLMLQcaceffghhhnktgfauks,Face: 15
jLLLMPQcddegghhiilgfmnjxefj,iLLMLQcaceffghhhnktgfauks,Face: 9
jLLLAAQbcgfeghhiitsmipsehkj,iLLMLQcaceffghhhnktgfauks,Face: 8
hLLAAkbddeffggdwgumvew,iLLAPPcceddgfghhtivngsfmr,Edge: 10
jLLALMQceddfghiiitivnsciags,iLLAPPcceddgfghhtivngsfmr,Face: 15
jLLLMAQcedffhghiiitsancgsaj,iLLAPPcceddgfghhtivngsfmr,Face: 6
jLLLMAQcedffhghiiitfanvgfxj,iLLAPPcceddgfghhtivngsfmr,Face: 5
jLLMLQPbcdffghhiitsrmsbhufk,iLLLQMcbdeeggghhdwhhigoxr,Face: 13
jLvPLQQccefgihihiqnackcbgkw,iLLLQMcbdeeggghhdwhhigoxr,Face: 6
jLLALMQceddfghiiitivnsciags,iLLALQcbddeghghhdwgunxkul,Face: 14
jLLLAMQcddeghiihitgfmgmutlr,iLLALQcbddeghghhdwgunxkul,Face: 9
jLLwzQQacdhgighiinkaaldumgg,iLLLQPccddefgghhlokirkkir,Face: 14
jLLLAMQcddeghiihitgfmgmutlr,iLLLQPccddefgghhlokirkkir,Face: 11
hLLMAkbcdeffggdfbtqfur,gLLQPacdeeffjkdlcpw,Face: 9
hLLMMkbcdeffggdfbltklj,gLLQPacdeeffjkdlcpw,Face: 8
hLLAMkcedefgfgqpvtxwkj,gLLQPacdeeffjkdlcpw,Face: 5
hLLAAkacdeefggnkadouxk,gLLQPacdeeffjkdlcpw,Face: 4
hLLMMkbceeffggtsdxawnk,gLLAQcceeefflnmqmxj,Face: 11
hLLMMkbcdeffggdfbltklj,gLLAQcceeefflnmqmxj,Face: 9
hLLPAkbddeefggdwsmlwqn,gLLAQcceeefflnmqmxj,Face: 5
hLLLQkbdfegggfxvhmdvrk,gLLAQcceeefflnmqmxj,Face: 2
hLLLQkaeedffggnlisrrjj,gLLQPacdedffjsxanqw,Face: 11
hLLAMkbddefgfgtvnuaxrr,gLLQPacdedffjsxanqw,Face: 7
iLLLQMccdffegfhhtfuaiwfqn,jLvzMQQccfeghiihihnhnfrnffr,Edge: 14
iLLMwQcacdefhgghnkankxanr,jLvAMQPadfdgfghiinxxrgbraqw,Edge: 15
kLLLMLQkcddegijhijjlgfmndhevvf,jLLLQzQcddfgfhhiitgfawgatwr,Face: 17
kLLLMAAkcddffghhijjtgfagkuechw,jLLLQzQcddfgfhhiitgfawgatwr,Face: 13
iLLMLQcaceffghhhnktgfauks,jLLLMPQcddegghhiilgfmnjxefj,Edge: 15
iLLMAMcbcdeffghhdfbmufuxj,jLLLMPQcddegghhiilgfmnjxefj,Edge: 11
kLLLMLQkcddegijhijjlgfmndhevvf,jLLLMPQcddegghhiilgfmnjxefj,Face: 17
iLLPAMccdcfefghhhsnmqwxxk,jLLMMMPaceefgghiinktfsuaohw,Edge: 11
kLLLMAAkcddffghhijjtgfagkuechw,jLLMMMPaceefgghiinktfsuaohw,Face: 17
kLLMLQzkaceffghhijjnktbjaukaqj,jLLMMMPaceefgghiinktfsuaohw,Face: 12
kLLMLQzkaceffghhijjnktbjaukaqj,jLLPzQPcdcfgfghiihsrasfoaqn,Face: 17
kLLMLQzkaceffghhijjnktbjaukaqj,jLLPzQPcdcfgfghiihsrasfoaqn,Face: 15
iLLLPQcccehgfgghqfaqfnjon,jLLLLQQcedeghiihiqqfnjbbbbf,Edge: 11
kLvPLPQkccefijhjiijqnpwfmbabce,jLLLLQQcedeghiihiqqfnjbbbbf,Face: 13
iLLLQMcbdeeggghhdwhhigoxr,jLvPLQQccefgihihiqnackcbgkw,Edge: 12
kLvPLPQkccefijhjiijqnpwfmbabce,jLvPLQQccefgihihiqnackcbgkw,Face: 10
kLLLMLQkcddegijhijjlgfmndhevvf,jLLLMPQcddfgighiitgfafanxjr,Face: 14
kLLLAPPkccefggijijjlnmidnakgbb,jLLLMPQcddfgighiitgfafanxjr,Face: 13
kLLLAPPkccefggijijjlnmidnakgbb,jLLLAAQbcgfeghhiitsmipsehkj,Face: 17
kLLLLAQkacfihfijhjjnkgdakiaqkw,jLLLAAQbcgfeghhiitsmipsehkj,Face: 10
kLLLPLQkcceghihjjjilnmdcanuhln,jLLLAAQbcgfeghhiitsmipsehkj,Face: 7
iLLALQcbddeghghhdwgunxkul,jLLALMQceddfghiiitivnsciags,Edge: 14
kLLLMMPkcedffhijijjitsancmuaig,jLLALMQceddfghiiitivnsciags,Face: 11
kLLLMMPkcedffhijjijitfanvmutxg,jLLALMQceddfghiiitivnsciags,Face: 10
kLLLMMPkcedffhijijjitsancmuaig,jLLLMAQcedffhghiiitsancgsaj,Face: 17
kLLLPLQkacfgfhijjijnkgkwiptwgk,jLLLMAQcedffhghiiitsancgsaj,Face: 10
kLLLPLQkcceghihjjjilnmdcanuhln,jLLLMAQcedffhghiiitsancgsaj,Face: 5
kLLLLQMkcedifhhhijjpircfvcwolw,jLLLMAQcedffhghiiitsancgsaj,Face: 2
kLLLMMPkcedffhijjijitfanvmutxg,jLLLMAQcedffhghiiitfanvgfxj,Face: 17
kLLLzQMkccfehigiijjlnaacxvaxaj,jLLLMAQcedffhghiiitfanvgfxj,Face: 6
kLLLLQMkcedifhhhijjpircsvcbolw,jLLLMAQcedffhghiiitfanvgfxj,Face: 2
kLLAzzQkbdedggiijjjlvagwfmvokj,jLLMLQPbcdffghhiitsrmsbhufk,Face: 17
kLLLzQMkccfehigiijjlnaacxvaxaj,jLLMLQPbcdffghhiitsrmsbhufk,Face: 7
iLLALQcbcedfhghhlsajjmjel,jLLLAMQcddeghiihitgfmgmutlr,Edge: 13
iLLLQPccddefgghhlokirkkir,jLLLAMQcddeghiihitgfmgmutlr,Edge: 11
kLLLwMQkcddeihhijjjtgfmmlaemrr,jLLLAMQcddeghiihitgfmgmutlr,Face: 16
kLLLwMQkcddeihhijjjtgfmmlaemrr,jLLwzQQacdhgighiinkaaldumgg,Face: 17
kLLLPLQkacfgfhijjijnkgkwiptwgk,jLLwzQQacdhgighiinkaaldumgg,Face: 7
iLLPLQcccdeghgghpvfdfmrkk,hLLMAkbcdeffggdfbtqfur,Face: 9
iLvLQQcaegfhhfghjxgrfrbww,hLLMAkbcdeffggdfbtqfur,Face: 7
gLLAQcceeefflnmqmxj,hLLMMkbcdeffggdfbltklj,Edge: 11
iLvLQQcaehefgghhjxvckbgvr,hLLMMkbcdeffggdfbltklj,Face: 6
iLLAPMcbdedgfghhhgakgwwtj,hLLMMkbcdeffggdfbltklj,Face: 2
iLLLAQcccfeehhhgubadhdmuk,hLLAMkcedefgfgqpvtxwkj,Face: 13
