target,source,label
gLALQbcbeeffxhjcras,fLAMcbbcdeedhrxqw,Face: 10
gLALQbcbeeffhxjnkqj,fLAMcbbcdeedhrxqw,Face: 9
gLLPQcdcefffqsnmlkj,fLAMcbbcdeedhrxqw,Face: 8
gLAMPbbcdeffdhgqqxr,fLAMcbbcdeedhrxqw,Face: 7
hLLAAkaedeefggnmaekkxr,gLALQbcbeeffxhjcras,Face: 11
hLALPkbcbefgfghxjgaqnw,gLALQbcbeeffxhjcras,Face: 3
hLLMAkaddeefggnuadjnhk,gLALQbcbeeffhxjnkqj,Face: 11
hLLAAkcddeefgglcvatnxj,gLLPQcdcefffqsnmlkj,Face: 12
hLLAAkcedefeggthvaxaqw,gLLPQcdcefffqsnmlkj,Face: 11
hLLPAkcdcfefggqsnaislk,gLLPQcdcefffqsnmlkj,Face: 10
hLAMzkaccdefggngbqqqhk,gLAMPbbcdeffdhgqqxr,Face: 1
iLLPLQcacdefgghhnkmbklpcs,hLLAAkaedeefggnmaekkxr,Face: 12
iLLLAQccddfgfhghugwasfukr,hLLAAkaedeefggnmaekkxr,Face: 11
iLLMLQcccdffhgghqvvakqcsn,hLLAAkaedeefggnmaekkxr,Face: 9
iLLMLQccbefgfghhpjahbcbnk,hLLMAkaddeefggnuadjnhk,Face: 11
iLLLAQcbcfgehgghdfmauqjvw,hLLMAkaddeefggnuadjnhk,Face: 9
iLLzAQccdcegfghhqsnqsnklj,hLLMAkaddeefggnuadjnhk,Face: 5
iLLMLQcccdffhgghqvvakqcsn,hLLAAkcddeefgglcvatnxj,Face: 6
iLLPwQcceeffhhhgthadabokn,hLLAAkcedefeggthvaxaqw,Face: 12
iLLLAQcbcfgehgghdfmauqjvw,hLLAAkcedefeggthvaxaqw,Face: 6
iLLAAMcbdeeffghhevdpaluhj,hLLAAkcedefeggthvaxaqw,Face: 5
iLLMAMcacdeffghhnsacvkqqn,hLLPAkcdcfefggqsnaislk,Face: 6
iLvAQMcadeeffghhjahsrggxr,hLLPAkcdcfefggqsnaislk,Face: 5
jLLLAQPcddfghhgiitgfagmhvsj,iLLPLQcacdefgghhnkmbklpcs,Face: 14
jLLLMPQcddfeghiiitgfajvalnb,iLLLAQccddfgfhghugwasfukr,Face: 16
jLLALPQcdcegghihihsjhbouern,iLLLAQccddfgfhghugwasfukr,Face: 13
hLLAAkcddeefgglcvatnxj,iLLMLQcccdffhgghqvvakqcsn,Edge: 12
jLLALPQcdcegghihihsjhbouern,iLLMLQcccdffhgghqvvakqcsn,Face: 13
jLLLLQQbdeghfgiiitvisnjjssc,iLLMLQccbefgfghhpjahbcbnk,Face: 13
jLLMLMQaceffgihhinktbjhsbkk,iLLMLQccbefgfghhpjahbcbnk,Face: 9
hLLAAkcedefeggthvaxaqw,iLLLAQcbcfgehgghdfmauqjvw,Edge: 12
jLLLLQQbdeghfgiiitvisnjjssc,iLLLAQcbcfgehgghdfmauqjvw,Face: 13
jLLLAAQbcgfehgihidfpuuqrqwk,iLLLAQcbcfgehgghdfmauqjvw,Face: 9
jLLMLMQaceffgihhinktbjhsbkk,iLLzAQccdcegfghhqsnqsnklj,Face: 13
jLLLAAQbcgfehgihidfpuuqrqwk,iLLzAQccdcegfghhqsnqsnklj,Face: 11
jLLLAQPbcegffhgiidfqahkanxr,iLLzAQccdcegfghhqsnqsnklj,Face: 10
