target,source,label
gLALQbcbeeffhxwgsan,fLAMcbbcdeedhrhqj,Face: 10
gLALQbcbeeffxhnsjhr,fLAMcbbcdeedhrhqj,Face: 9
gLLPQcdcefffqsjptjr,fLAMcbbcdeedhrhqj,Face: 8
gLAMPbbcdeffdhgqhxn,fLAMcbbcdeedhrhqj,Face: 7
hLLAAkaedeefggnmaeknxn,gLALQbcbeeffhxwgsan,Face: 11
hLALPkbcbegffgxhnchasn,gLALQbcbeeffhxwgsan,Face: 3
hLLMAkaddeefggnuadjvhw,gLALQbcbeeffxhnsjhr,Face: 11
hLLAAkcddeefgglcvatkxk,gLLPQcdcefffqsjptjr,Face: 12
hLLAAkcedefeggthvahaqj,gLLPQcdcefffqsjptjr,Face: 11
hLLPAkcdcfefggqsjiqvpj,gLLPQcdcefffqsjptjr,Face: 10
hLLAAkbdedffggerxgacts,gLLPQcdcefffqsjptjr,Face: 5
hLAMzkaccdefggngbqqxhw,gLAMPbbcdeffdhgqhxn,Face: 1
iLLLMQcaeefgghghjligvoegw,hLLAAkaedeefggnmaeknxn,Face: 14
iLLLMQcbcdffgghhlrrtnrvmj,hLLAAkaedeefggnmaeknxn,Face: 11
iLLMPMcbdedfgfhhhfafoorhr,hLLAAkaedeefggnmaeknxn,Face: 9
iLLLAQcbcfgehgghdfmalqjvj,hLLMAkaddeefggnuadjvhw,Face: 9
iLLPPPccdcfegghhqsjargsps,hLLMAkaddeefggnuadjvhw,Face: 5
iLLLPQcbdehfhhgghgpubojsw,hLLAAkcddeefgglcvatkxk,Face: 11
iLLMPMcbdedfgfhhhfafoorhr,hLLAAkcddeefgglcvatkxk,Face: 6
iLLAPPcccdefgghhqvvhsfwiw,hLLAAkcedefeggthvahaqj,Face: 11
iLLLAQcbcfgehgghdfmalqjvj,hLLAAkcedefeggthvahaqj,Face: 6
iLLAAMcbdeeffghhevdpalmhr,hLLAAkcedefeggthvahaqj,Face: 5
iLLMLQcaceffgghhjktbjhebk,hLLPAkcdcfefggqsjiqvpj,Face: 11
iLLMAMcacdeffghhnsacvkaqj,hLLPAkcdcfefggqsjiqvpj,Face: 6
iLvAQMcadeeffghhjahsrgrxn,hLLPAkcdcfefggqsjiqvpj,Face: 5
iLLLPQcbdehfhhgghgpubojsw,hLLAAkbdedffggerxgacts,Face: 14
iLLAPPcccdefgghhqvvhsfwiw,hLLAAkbdedffggerxgacts,Face: 13
iLLMLQcaceffgghhjktbjhebk,hLLAAkbdedffggerxgacts,Face: 12
jLLLLQQaeegghhiiijlivoatltg,iLLLMQcaeefgghghjligvoegw,Face: 15
jLvLQMQaefhghgihinxbrwrwark,iLLLMQcaeefgghghjligvoegw,Face: 13
jLLLzQQaeefghghiinmxnbaoenr,iLLLMQcaeefgghghjligvoegw,Face: 5
jLLLLQQbddghfhhiixjfvnkbbek,iLLLMQcbcdffgghhlrrtnrvmj,Face: 13
jLLAwQPaedefhghiijlxmcipgqs,iLLLMQcbcdffgghhlrrtnrvmj,Face: 4
hLLAAkcddeefgglcvatkxk,iLLMPMcbdedfgfhhhfafoorhr,Edge: 12
jLLwPQPaceghgghiijktquemmow,iLLMPMcbdedfgfhhhfafoorhr,Face: 16
jLLLLQQbddghfhhiixjfvnkbbek,iLLMPMcbdedfgfhhhfafoorhr,Face: 13
hLLAAkcedefeggthvahaqj,iLLLAQcbcfgehgghdfmalqjvj,Edge: 12
jLLAPLQacedfghiiijkumuautbn,iLLLAQcbcfgehgghdfmalqjvj,Face: 16
jLLLAAQbcgfehgihidfpulqrqjk,iLLLAQcbcfgehgghdfmalqjvj,Face: 9
jLLLAAQbcgfehgihidfpulqrqjk,iLLPPPccdcfegghhqsjargsps,Face: 11
jLLLAQPbcegffhgiidfqahkxnxn,iLLPPPccdcfegghhqsjargsps,Face: 10
jLvAMQPadfdgfghiijxxrgbraxk,iLLPPPccdcfegghhqsjargsps,Face: 5
hLLAAkbdedffggerxgacts,iLLLPQcbdehfhhgghgpubojsw,Edge: 10
jLLwPQPaceghgghiijktquemmow,iLLLPQcbdehfhhgghgpubojsw,Face: 12
jLLPvQQcdefhihgiiuflqomfkdl,iLLLPQcbdehfhhgghgpubojsw,Face: 6
hLLAAkbdedffggerxgacts,iLLAPPcccdefgghhqvvhsfwiw,Edge: 10
jLLAPLQacedfghiiijkumuautbn,iLLAPPcccdefgghhqvvhsfwiw,Face: 13
jLLAwQPcddefghhiitrvaltpnps,iLLAPPcccdefgghhqvvhsfwiw,Face: 11
jLLAwQPcddefghhiitrvaltpnps,iLLAAMcbdeeffghhevdpalmhr,Face: 13
jLLALMQcedeggihhituvpvsqcsj,iLLAAMcbdeeffghhevdpalmhr,Face: 6
jLLLMQPbdfffgghiixviigbogqj,iLLAAMcbdeeffghhevdpalmhr,Face: 5
jLLLMAQcdefhhfhiilruqkjknxn,iLLAAMcbdeeffghhevdpalmhr,Face: 1
hLLAAkbdedffggerxgacts,iLLMLQcaceffgghhjktbjhebk,Edge: 10
jLLMLQPacdefghhiinsacbapjpr,iLLMLQcaceffgghhjktbjhebk,Face: 12
jLLwwQQacefggiihijktfepxfks,iLLMLQcaceffgghhjktbjhebk,Face: 10
jLLMLQPacdefghhiinsacbapjpr,iLLMAMcacdeffghhnsacvkaqj,Face: 16
jLLMLQPacdefghhiinsacbapjpr,iLLMAMcacdeffghhnsacvkaqj,Face: 13
jLLwMQPacdggfghiijsxxxkxxhw,iLLMAMcacdeffghhnsacvkaqj,Face: 6
jLLwwQQacefggiihijktfepxfks,iLvAQMcadeeffghhjahsrgrxn,Face: 13
jLLALMQcedeggihhituvpvsqcsj,iLvAQMcadeeffghhjahsrgrxn,Face: 7
jLvAAAQbeffghfihiedxahfbqkj,iLvAQMcadeeffghhjahsrgrxn,Face: 6
kLLLLMQkbcgfijhhjjiebekfqsfaik,jLLLLQQaeegghhiiijlivoatltg,Face: 18
kLLLzMQkaeefggijijjnmxnboqggco,jLLLLQQaeegghhiiijlivoatltg,Face: 10
kLLLLMQkbcgfijhhjjiebekfqsfaik,jLvLQMQaefhghgihinxbrwrwark,Face: 17
kLvLAMQkaegfhhiihjjnxrsrklprnk,jLvLQMQaefhghgihinxbrwrwark,Face: 10
kLvwMAQkadhfhggjjijnagcgnnqtkj,jLvLQMQaefhghgihinxbrwrwark,Face: 7
kLvLAPQkaehehgjiiijnxvckwapeak,jLvLQMQaefhghgihinxbrwrwark,Face: 6
kLLLzMQkaeefggijijjnmxnboqggco,jLLLzQQaeefghghiinmxnbaoenr,Face: 17
kLvLAMQkaegfhhiihjjnxrsrklprnk,jLLLzQQaeefghghiinmxnbaoenr,Face: 15
kLLALMMkaedefgihijjjlxmnxsooxs,jLLLzQQaeefghghiinmxnbaoenr,Face: 4
iLLMPMcbdedfgfhhhfafoorhr,jLLLLQQbddghfhhiixjfvnkbbek,Edge: 11
kLLLPLQkacfggjjhjiijkwkjpttccw,jLLLLQQbddghfhhiixjfvnkbbek,Face: 4
kLLPLPAkacefhgiihjjjkxwuhtobhn,jLLAwQPaedefhghiijlxmcipgqs,Face: 15
kLLALMMkaedefgihijjjlxmnxsooxs,jLLAwQPaedefhghiijlxmcipgqs,Face: 7
iLLLPQcbdehfhhgghgpubojsw,jLLwPQPaceghgghiijktquemmow,Edge: 15
kLLLPLQkacfggiihjijjkwkjtptccw,jLLwPQPaceghgghiijktquemmow,Face: 10
kLvLPQMkaehghgigijjnxrcrnpclvr,jLLwPQPaceghgghiijktquemmow,Face: 7
kLvLAPQkaehehgjiiijnxvckwapeak,jLLwPQPaceghgghiijktquemmow,Face: 4
iLLAPPcccdefgghhqvvhsfwiw,jLLAPLQacedfghiiijkumuautbn,Edge: 15
kLLAPLAkacedgfhiijjjktepxedwxj,jLLAPLQacedfghiiijkumuautbn,Face: 13
iLLPPPccdcfegghhqsjargsps,jLLLAAQbcgfehgihidfpulqrqjk,Edge: 12
kLLAPLAkacedgfhiijjjktepxedwxj,jLLLAAQbcgfehgihidfpulqrqjk,Face: 18
kLLLMMMkceffgehiijjpqmapjwmank,jLLLAAQbcgfehgihidfpulqrqjk,Face: 6
kLLLAQzkacfeehghijjnkgcgmvdfqj,jLLLAQPbcegffhgiidfqahkxnxn,Face: 10
iLLzPQcaceefghghjkxnkxarj,jLvAMQPadfdgfghiijxxrgbraxk,Edge: 15
kLLLAQzkacfeehghijjnkgcgmvdfqj,jLvAMQPadfdgfghiijxxrgbraxk,Face: 13
kLLLAQzkacfeehghijjnkgcgmvdfqj,jLvAMQPadfdgfghiijxxrgbraxk,Face: 12
kLvLPQMkaehghgigijjnxrcrnpclvr,jLLPvQQcdefhihgiiuflqomfkdl,Face: 14
iLLAAMcbdeeffghhevdpalmhr,jLLAwQPcddefghhiitrvaltpnps,Edge: 11
kLLAvMQkacedghiiijjjkumfbwjgaj,jLLAwQPcddefghhiitrvaltpnps,Face: 11
kLLAvPQkacedihiijjjjkumwbwjuep,jLLAwQPcddefghhiitrvaltpnps,Face: 10
kLLwzMQkacefhgihjjjjkuktqjrkog,jLLAwQPcddefghhiitrvaltpnps,Face: 5
kLLAzLQkacedghiiijjjktepbelqak,jLLAwQPcddefghhiitrvaltpnps,Face: 1
iLvAQMcadeeffghhjahsrgrxn,jLLALMQcedeggihhituvpvsqcsj,Edge: 12
kLLAvMQkacedghiiijjjkumfbwjgaj,jLLALMQcedeggihhituvpvsqcsj,Face: 15
kLLvAMQkcehgehgijijpqddjkrfpsn,jLLALMQcedeggihhituvpvsqcsj,Face: 6
kLLAvPQkacedihiijjjjkumwbwjuep,jLLLMQPbdfffgghiixviigbogqj,Face: 15
kLLMLPPkbdefhghjiijxvatrnnqirj,jLLLMQPbdfffgghiixviigbogqj,Face: 6
kLLAzLQkacedghiiijjjktepbelqak,jLLLMAQcdefhhfhiilruqkjknxn,Face: 15
kLvALQPkcfeghifiijjpxadnbkskmj,jLLLMAQcdefhhfhiilruqkjknxn,Face: 13
kLvALQMkcecighgijijqmjwjsjfqws,jLLLMAQcdefhhfhiilruqkjknxn,Face: 9
kLLvAMQkcehgehgijijpqddjkrfpsn,jLLLMAQcdefhhfhiilruqkjknxn,Face: 8
kLLMLPPkbdefhghjiijxvatrnnqirj,jLLLMAQcdefhhfhiilruqkjknxn,Face: 7
kLLLwQMkceffehihijjpqmajkgbcej,jLLLMAQcdefhhfhiilruqkjknxn,Face: 6
iLLMAMcacdeffghhnsacvkaqj,jLLMLQPacdefghhiinsacbapjpr,Edge: 11
kLLMwzQkaceefihijijjktfsxjfpgk,jLLMLQPacdefghhiinsacbapjpr,Face: 12
kLLALMMkacdefhhiijjnsaaagvtewr,jLLMLQPacdefghhiinsacbapjpr,Face: 4
iLvAQMcadeeffghhjahsrgrxn,jLLwwQQacefggiihijktfepxfks,Edge: 11
kLLAvMQkacedghiiijjjkumfbwjgaj,jLLwwQQacefggiihijktfepxfks,Face: 14
kLLwLQMkacegihghijjjktlhddebdj,jLLwwQQacefggiihijktfepxfks,Face: 13
kLLvAAQkacegfhihijjjkrkoxiqjok,jLLwwQQacefggiihijktfepxfks,Face: 4
kLLMwzQkaceefihijijjktfsxjfpgk,jLLwMQPacdggfghiijsxxxkxxhw,Face: 18
kLLMwzQkaceefihijijjktfsxjfpgk,jLLwMQPacdggfghiijsxxxkxxhw,Face: 15
kLLLMPAkccfghfgihjjqfaawfwikxn,jLLwMQPacdggfghiijsxxxkxxhw,Face: 13
kLLwLQMkacegihghijjjktlhddebdj,jLvAAAQbeffghfihiedxahfbqkj,Face: 15
kLLLAPAkbcggehighjjtsqataqvnqj,jLvAAAQbeffghfihiedxahfbqkj,Face: 13
kLLLMPAkccfghfgihjjqfaawfwikxn,jLvAAAQbeffghfihiedxahfbqkj,Face: 5
