target,source,label
gLLPQcdcfeffqsneivf,fLLQccceddeufxjjj,Face: 10
gLLPQcdcfeefqcnqasj,fLLQccceddeufxjjj,Face: 9
gLLAQccedfefhwxgqjw,fLLQccceddeufxjjj,Face: 8
gLLAQbdceeffessulkw,fLLQccceddeufxjjj,Face: 7
hLLAMkbdedffggtvurxoxj,gLLPQcdcfeffqsneivf,Face: 12
hLLMAkbcdfefggeskmejpk,gLLPQcdcfeffqsneivf,Face: 9
hLLAAkcedeefgghtvaexhk,gLLPQcdcfeffqsneivf,Face: 6
hLLMAkacedffggnktnkbqn,gLLPQcdcfeefqcnqasj,Face: 12
hLLAAkaeddefggniadcoxr,gLLPQcdcfeefqcnqasj,Face: 7
hLLMAkaceefeggnktfonhn,gLLAQccedfefhwxgqjw,Face: 12
hLLAMkbdedffggtvurxoxj,gLLAQbdceeffessulkw,Face: 11
hLLLQkacdggffgnksvkvkv,gLLAQbdceeffessulkw,Face: 10
hLLAAkbdceffgghgsqugqr,gLLAQbdceeffessulkw,Face: 9
hLLLQkbceggfgflkxatrwk,gLLAQbdceeffessulkw,Face: 7
hLLLQkadfegfggjidksrrc,gLLAQbdceeffessulkw,Face: 4
gLLAQbdceeffessulkw,hLLAMkbdedffggtvurxoxj,Edge: 11
iLLAzQcbdedfhghhtvurrusmt,hLLAMkbdedffggtvurxoxj,Face: 13
iLLLQMcbedefgghhlufupkkxk,hLLAMkbdedffggtvurxoxj,Face: 8
iLLLMQcbeegffghhdlxaacrrr,hLLMAkbcdfefggeskmejpk,Face: 14
iLLLAQcbddffgghhlrfagjndw,hLLMAkbcdfefggeskmejpk,Face: 11
iLLLAQcacgeffhhhnkccckqxe,hLLMAkbcdfefggeskmejpk,Face: 4
iLLLAQcbddffgghhlrfagjndw,hLLAAkcedeefgghtvaexhk,Face: 11
iLLLAQcbcfgehgghlshaixfvr,hLLAAkcedeefgghtvaexhk,Face: 9
iLLAMMcbdeeffghhevdpannxr,hLLAAkcedeefgghtvaexhk,Face: 7
iLLLMQccddefhgghlgfqfinjn,hLLMAkacedffggnktnkbqn,Face: 12
iLLLPQcacfeghhhgjkngfaelj,hLLMAkacedffggnktnkbqn,Face: 10
iLLwMQccbefhfgghqnhabggnk,hLLMAkacedffggnktnkbqn,Face: 8
iLLLMQccddefhgghlgfqfinjn,hLLAAkaeddefggniadcoxr,Face: 11
iLLPMMcaedefgfhhjtdxrtrqn,hLLAAkaeddefggniadcoxr,Face: 7
iLLLAQcbcfgehgghlshaixfvr,hLLAAkaeddefggniadcoxr,Face: 6
iLLMPPcacdefghghnkanfihkn,hLLMAkaceefeggnktfonhn,Face: 5
iLLMwQcacedfhghhnktsvtdgs,hLLMAkaceefeggnktfonhn,Face: 4
iLLLMQcbdgefghghxwixsvroj,hLLLQkacdggffgnksvkvkv,Face: 13
iLLALQccbdeghhghujvinudrl,hLLLQkacdggffgnksvkvkv,Face: 9
iLLMwQcacedfhghhnktsvtdgs,hLLLQkacdggffgnksvkvkv,Face: 8
iLLALQccddegfghhtrvajksdw,hLLLQkacdggffgnksvkvkv,Face: 5
iLLLMQcadegffhhhjpxwwcmxq,hLLAAkbdceffgghgsqugqr,Face: 13
iLLLAQcadfeghhghjxdcndtct,hLLAAkbdceffgghgsqugqr,Face: 9
iLLwMQccbefhfgghqnhabggnk,hLLAAkbdceffgghgsqugqr,Face: 7
iLLLMQcbdgefghghxwixsvroj,hLLLQkbceggfgflkxatrwk,Face: 12
iLLLMQcadegffhhhjpxwwcmxq,hLLLQkbceggfgflkxatrwk,Face: 11
iLLLAQcacgeffhhhnkccckqxe,hLLLQkbceggfgflkxatrwk,Face: 7
iLLAzQcbdedfhghhtvurrusmt,hLLLQkadfegfggjidksrrc,Face: 13
iLLALQccbdeghhghujvinudrl,hLLLQkadfegfggjidksrrc,Face: 12
iLLLAQcadfeghhghjxdcndtct,hLLLQkadfegfggjidksrrc,Face: 11
iLLLMQcadfeghhghnpmcjpunm,hLLLQkadfegfggjidksrrc,Face: 6
hLLLQkadfegfggjidksrrc,iLLAzQcbdedfhghhtvurrusmt,Edge: 16
jLLLMPQbedegihhiilufuklocpq,iLLAzQcbdedfhghhtvurrusmt,Face: 13
jLLLQLQcddfgfhiiiukftjkqarn,iLLAzQcbdedfhghhtvurrusmt,Face: 5
jLLLMPQbedegihhiilufuklocpq,iLLLQMcbedefgghhlufupkkxk,Face: 15
jLLLMAQbeefehghiidlxudnokuw,iLLLQMcbedefgghhlufupkkxk,Face: 4
jLLLMAQbeefehghiidlxudnokuw,iLLLMQcbeegffghhdlxaacrrr,Face: 7
hLLAAkcedeefgghtvaexhk,iLLLAQcbddffgghhlrfagjndw,Edge: 10
jLLLAPQbcfgegiihiesuaentekk,iLLLAQcbddffgghhlrfagjndw,Face: 4
hLLLQkbceggfgflkxatrwk,iLLLAQcacgeffhhhnkccckqxe,Edge: 11
jLLLLQQbdehifghiixvpkvjjjoj,iLLLAQcacgeffhhhnkccckqxe,Face: 13
hLLAAkaeddefggniadcoxr,iLLLAQcbcfgehgghlshaixfvr,Edge: 12
jLLPLPQccdfggiiihubwxrsaqnn,iLLLAQcbcfgehgghlshaixfvr,Face: 13
jLLPzAQccdefghihiubwdnshxjr,iLLLAQcbcfgehgghlshaixfvr,Face: 2
jLLLMAQbceffhgihidnpegvsqkn,iLLAMMcbdeeffghhevdpannxr,Face: 1
hLLAAkaeddefggniadcoxr,iLLLMQccddefhgghlgfqfinjn,Edge: 11
jLLLMMQcddfeghiiitgfajcamsr,iLLLMQccddefhgghlgfqfinjn,Face: 15
jLLPLPQccdfggiiihubwxrsaqnn,iLLLMQccddefhgghlgfqfinjn,Face: 13
jLLvQPQcdeggihghiukqujxjjjj,iLLLMQccddefhgghlgfqfinjn,Face: 5
jLLLMMQcddfeghiiitgfajcamsr,iLLLPQcacfeghhhgjkngfaelj,Face: 14
jLvLQAQaefhggfhiinxkkkbbgan,iLLLPQcacfeghhhgjkngfaelj,Face: 13
jLLLQLQcddfgfihhiukftwkmdjs,iLLLPQcacfeghhhgjkngfaelj,Face: 5
hLLAAkbdceffgghgsqugqr,iLLwMQccbefhfgghqnhabggnk,Edge: 11
jLLLAAQcceeghfhiipvudpqwpww,iLLwMQccbefhfgghqnhabggnk,Face: 14
jLLLPPQccdghhhgiipvrgwnkvlw,iLLwMQccbefhfgghqnhabggnk,Face: 12
jLLPzAQccdefghihiubwdnshxjr,iLLPMMcaedefgfhhjtdxrtrqn,Face: 10
jLLzMQPaceefghgiinkacvxxrxj,iLLPMMcaedefgfhhjtdxrtrqn,Face: 5
jLLMwAQacedfghhiinktsvuxnqw,iLLMPPcacdefghghnkanfihkn,Face: 10
jLvAQLQadfeggihhinaqcvkqqjn,iLLMPPcacdefghghnkanfihkn,Face: 8
hLLLQkacdggffgnksvkvkv,iLLMwQcacedfhghhnktsvtdgs,Edge: 11
jLLAvQQbdedighgiilvagasmjkb,iLLMwQcacedfhghhnktsvtdgs,Face: 14
jLLAPLQbdcegfhiiitvwqjveusb,iLLMwQcacedfhghhnktsvtdgs,Face: 12
jLLMwAQacedfghhiinktsvuxnqw,iLLMwQcacedfhghhnktsvtdgs,Face: 7
hLLLQkbceggfgflkxatrwk,iLLLMQcbdgefghghxwixsvroj,Edge: 11
jLLAvQQbdedighgiilvagasmjkb,iLLLMQcbdgefghghxwixsvroj,Face: 13
jLLAvQQcddefhihiitrvakmheef,iLLLMQcbdgefghghxwixsvroj,Face: 10
hLLLQkadfegfggjidksrrc,iLLALQccbdeghhghujvinudrl,Edge: 11
jLLAPLQbdcegfhiiitvwqjveusb,iLLALQccbdeghhghujvinudrl,Face: 13
jLLALAQcbdeghhiiiujvinphdeg,iLLALQccbdeghhghujvinudrl,Face: 10
jLLAvQQcddefhihiitrvakmheef,iLLALQccddegfghhtrvajksdw,Face: 15
jLLALAQcbdeghhiiiujvinphdeg,iLLALQccddegfghhtrvajksdw,Face: 11
jLLvPQQcbffhghhiipnpgnoggww,iLLALQccddegfghhtrvajksdw,Face: 10
jLLLAPQacdgfhihhinksvseidxj,iLLALQccddegfghhtrvajksdw,Face: 1
hLLLQkbceggfgflkxatrwk,iLLLMQcadegffhhhjpxwwcmxq,Edge: 11
jLLLLQQbdehifghiixvpkvjjjoj,iLLLMQcadegffhhhjpxwwcmxq,Face: 13
jLLLAAQcceeghfhiipvudpqwpww,iLLLMQcadegffhhhjpxwwcmxq,Face: 12
jLLvMQQcedghihgiippngbnonbb,iLLLMQcadegffhhhjpxwwcmxq,Face: 7
hLLLQkadfegfggjidksrrc,iLLLAQcadfeghhghjxdcndtct,Edge: 10
jLLLPPQccdghhhgiipvrgwnkvlw,iLLLAQcadfeghhghjxdcndtct,Face: 12
jLLLMPQadfehgihiijxdciouhtk,iLLLAQcadfeghhghjxdcndtct,Face: 10
hLLAAkbedeffggxxrxhmqw,iLLLMQcadfeghhghnpmcjpunm,Edge: 10
jLLLQLQcddfgfhiiiukftjkqarn,iLLLMQcadfeghhghnpmcjpunm,Face: 15
jLLLMPQadfehgihiijxdciouhtk,iLLLMQcadfeghhghnpmcjpunm,Face: 13
jLLALPQceddgfihiiuqvgvjmqvs,iLLLMQcadfeghhghnpmcjpunm,Face: 9
iLLLQMcbedefgghhlufupkkxk,jLLLMPQbedegihhiilufuklocpq,Edge: 11
kLLLMAPkbeeeghgijjjlupupkoqpns,jLLLMPQbedegihhiilufuklocpq,Face: 11
kLLAwzQkbdedfhjhijjevdslmdfbat,jLLLMPQbedegihhiilufuklocpq,Face: 10
iLLLMQcadfeghhghnpmcjpunm,jLLLQLQcddfgfhiiiukftjkqarn,Edge: 18
iLLALQcbedeghghhxxrxcwjkj,jLLLQLQcddfgfhiiiukftjkqarn,Edge: 11
kLLAwzQkbdedfhjhijjevdslmdfbat,jLLLQLQcddfgfhiiiukftjkqarn,Face: 15
kLLAzzQkbddefijhijjlvklnxudkvg,jLLLQLQcddfgfhiiiukftjkqarn,Face: 9
iLLLMQcbeegffghhdlxaacrrr,jLLLMAQbeefehghiidlxudnokuw,Edge: 12
kLLLMAPkbeeeghgijjjlupupkoqpns,jLLLMAQbeefehghiidlxudnokuw,Face: 17
kLLzLMQkccdhfghjjjiubwrfwkeion,jLLLAPQbcfgegiihiesuaentekk,Face: 11
kLLLzQMkccfgghihijjunaujbunufs,jLLLAPQbcfgegiihiesuaentekk,Face: 8
kLLvMAQkacfhghjjiijnkvlouppmvj,jLLLAPQbcfgegiihiesuaentekk,Face: 5
iLLLMQcadegffhhhjpxwwcmxq,jLLLLQQbdehifghiixvpkvjjjoj,Edge: 15
kLvLLQQkaefhgijjiijjxfbchxttti,jLLLLQQbdehifghiixvpkvjjjoj,Face: 8
kLLvMAQkacfhghjjiijnkvlouppmvj,jLLLLQQbdehifghiixvpkvjjjoj,Face: 5
iLLLMQccddefhgghlgfqfinjn,jLLPLPQccdfggiiihubwxrsaqnn,Edge: 15
kLLLAzQkcddfggjjiijtgfagcmkvbc,jLLPLPQccdfggiiihubwxrsaqnn,Face: 16
kLLzLMQkccdhfghjjjiubwrfwkeion,jLLPLPQccdfggiiihubwxrsaqnn,Face: 7
iLLPMMcaedefgfhhjtdxrtrqn,jLLPzAQccdefghihiubwdnshxjr,Edge: 14
kLLMPLAkbcdegfhihjjebbujbmmkhj,jLLPzAQccdefghihiubwdnshxjr,Face: 7
iLLLPQcacfeghhhgjkngfaelj,jLLLMMQcddfeghiiitgfajcamsr,Edge: 11
kLLLAzQkcddfggjjiijtgfagcmkvbc,jLLLMMQcddfeghiiitgfajcamsr,Face: 18
kLLLMwQkcddffghjjijukftkfqnwsg,jLLLMMQcddfeghiiitgfajcamsr,Face: 10
kLLzLMQkccdhfghjjjiubwrfwkeion,jLLvQPQcdeggihghiukqujxjjjj,Face: 15
kLLwLAQkaedihfjihjjjtaltspddsb,jLLvQPQcdeggihghiukqujxjjjj,Face: 10
kLvAwMQkcdfehhijhijhvlhnvudgkk,jLLvQPQcdeggihghiukqujxjjjj,Face: 6
kLvLLQQkaefhiighijjnxjrqevnhmr,jLvLQAQaefhggfhiinxkkkbbgan,Face: 8
kLLvPPQkcbfifgjijhjqnmnjbtfana,jLvLQAQaefhggfhiinxkkkbbgan,Face: 6
iLLALQcbedegfghhxxrxgjgws,jLLLQLQcddfgfihhiukftwkmdjs,Edge: 11
kLLLMwQkcddffghjjijukftkfqnwsg,jLLLQLQcddfgfihhiukftwkmdjs,Face: 16
kLvLLQQkaefhiighijjnxjrqevnhmr,jLLLQLQcddfgfihhiukftwkmdjs,Face: 15
kLLLMLQkccfgghjijjiubamjriaixk,jLLLQLQcddfgfihhiukftwkmdjs,Face: 12
iLLLMQcadegffhhhjpxwwcmxq,jLLLAAQcceeghfhiipvudpqwpww,Edge: 15
kLvAAPPkbeffghgjiijtalahnbeikk,jLLLAAQcceeghfhiipvudpqwpww,Face: 10
kLvAwMQkcdfehhijhijhvlhnvudgkk,jLLLAAQcceeghfhiipvudpqwpww,Face: 5
iLLLAQcadfeghhghjxdcndtct,jLLLPPQccdghhhgiipvrgwnkvlw,Edge: 15
kLLLLQAkadfigfhhijjjxdmkohhhan,jLLLPPQccdghhhgiipvrgwnkvlw,Face: 8
kLLvPPQkcbfifgjijhjqnmnjbtfana,jLLLPPQccdghhhgiipvrgwnkvlw,Face: 5
kLLMPLAkbcdegfhihjjebbujbmmkhj,jLLzMQPaceefghgiinkacvxxrxj,Face: 13
kLLMPLAkbcdegfhihjjebbujbmmkhj,jLLzMQPaceefghgiinkacvxxrxj,Face: 12
iLLMwQcacedfhghhnktsvtdgs,jLLMwAQacedfghhiinktsvuxnqw,Edge: 12
kLLAvQAkbdedhgigijjlvagdsejsxr,jLLMwAQacedfghhiinktsvuxnqw,Face: 16
kLLAPLAkbdcegfihijjtvwqjvdakqw,jLLMwAQacedfghhiinktsvuxnqw,Face: 14
iLLAPMcbcedgffhhlsajsjnqn,jLvAQLQadfeggihhinaqcvkqqjn,Edge: 14
iLLLMQcbdgefghghxwixsvroj,jLLAvQQbdedighgiilvagasmjkb,Edge: 15
kLLAvQAkbdedhgigijjlvagdsejsxr,jLLAvQQbdedighgiilvagasmjkb,Face: 12
iLLALQccbdeghhghujvinudrl,jLLAPLQbdcegfhiiitvwqjveusb,Edge: 15
kLLAPLAkbdcegfihijjtvwqjvdakqw,jLLAPLQbdcegfhiiitvwqjveusb,Face: 12
iLLALQccddegfghhtrvajksdw,jLLAvQQcddefhihiitrvakmheef,Edge: 11
kLLvAAQkcbefhijhijjpnepnaavmmj,jLLAvQQcddefhihiitrvakmheef,Face: 5
kLLLvQQkcddghjjijhitgfkkpdqxnj,jLLAvQQcddefhihiitrvakmheef,Face: 1
iLLALQccddegfghhtrvajksdw,jLLALAQcbdeghhiiiujvinphdeg,Edge: 11
kLLzvQQkaddhjhiiijjnptphliidtk,jLLALAQcbdeghhiiiujvinphdeg,Face: 7
kLLALLQkcbdeghiiijjujvinhadwgk,jLLALAQcbdeghhiiiujvinphdeg,Face: 1
kLLLLQMkbdgfihhiijjtvtgjvnfvlk,jLLvPQQcbffhghhiipnpgnoggww,Face: 17
kLLLzQMkccfghiihijjubeubiikqlw,jLLvPQQcbffhghhiipnpgnoggww,Face: 13
kLLwvQQkaddfhgiiijjjuavxbtxgrr,jLLvPQQcbffhghhiipnpgnoggww,Face: 4
kLLLvQQkcddghjjijhitgfkkpdqxnj,jLLLAPQacdgfhihhinksvseidxj,Face: 17
kLLALLQkcbdeghiiijjujvinhadwgk,jLLLAPQacdgfhihhinksvseidxj,Face: 13
kLLwPLQkcbefgiijhijpnadnmimwej,jLLLAPQacdgfhihhinksvseidxj,Face: 12
kLLvMAQkadfhifgijijjugjaswdquj,jLLLAPQacdgfhihhinksvseidxj,Face: 7
kLvLLQQkaefhgijjiijjxfbchxttti,jLLvMQQcedghihgiippngbnonbb,Face: 15
kLvAAPPkbeffghgjiijtalahnbeikk,jLLvMQQcedghihgiippngbnonbb,Face: 14
iLLLMQcadfeghhghnpmcjpunm,jLLLMPQadfehgihiijxdciouhtk,Edge: 15
iLLLAQcbedefgghhxxwxxofhw,jLLLMPQadfehgihiijxdciouhtk,Edge: 11
kLLLAPMkadfegihijjjnpqccmhmjcc,jLLLMPQadfehgihiijxdciouhtk,Face: 12
kLLLLPQkcddfjhgiijjukfkikslppr,jLLLMPQadfehgihiijxdciouhtk,Face: 9
iLLALQcbedeghghhxxrxcwjkj,hLLAAkbedeffggxxrxhmqw,Face: 13
iLLLAQcbedefgghhxxwxxofhw,hLLAAkbedeffggxxrxhmqw,Face: 11
