target,source,label
gLLPQcdcfeefhcnqasj,fLLQccceddeufhjjs,Face: 9
gLLAQccedfefhwhgqsw,fLLQccceddeufhjjs,Face: 8
gLLAQbdceeffessulcr,fLLQccceddeufhjjs,Face: 7
hLLMPkacdefgfgjkecfpjw,gLLPQcdcfeefhcnqasj,Face: 12
hLLAAkaeddefggniadcoqw,gLLPQcdcfeefhcnqasj,Face: 7
hLLMAkccdefegglbvmljxj,gLLAQccedfefhwhgqsw,Face: 12
hLLLQkacgdgffgnknjkvkv,gLLAQbdceeffessulcr,Face: 10
hLLAAkbdceffgghgsqugxw,gLLAQbdceeffessulcr,Face: 9
hLLAPkbdedffgglvagksjs,gLLAQbdceeffessulcr,Face: 5
iLLLMQccddefhgghlgfqfpnjk,hLLMPkacdefgfgjkecfpjw,Face: 12
iLLAzQcbdedgfghhlvagknfen,hLLMPkacdefgfgjkecfpjw,Face: 9
iLLwMQccbefhfgghqnhawggnk,hLLMPkacdefgfgjkecfpjw,Face: 8
iLLLMQccddefhgghlgfqfpnjk,hLLAAkaeddefggniadcoqw,Face: 11
iLLPMMcaedefgfhhjtdxrtrhk,hLLAAkaeddefggniadcoqw,Face: 7
iLLLMQccddfhggghtgfahoovj,hLLMAkccdefegglbvmljxj,Face: 10
iLLPPPcacefeghghnkxwniqjn,hLLMAkccdefegglbvmljxj,Face: 5
iLLMwQcacefdhghhnktnjtdgs,hLLMAkccdefegglbvmljxj,Face: 4
iLLLMQcbcfghhfhgebphjfnvj,hLLLQkacgdgffgnknjkvkv,Face: 10
iLLLAQcacgfgfhhhnkcrkrmxd,hLLLQkacgdgffgnknjkvkv,Face: 9
iLLMwQcacefdhghhnktnjtdgs,hLLLQkacgdgffgnknjkvkv,Face: 8
iLLALQccddegfghhtrvajnodw,hLLLQkacgdgffgnknjkvkv,Face: 5
iLLLPQcbdfhgehghxvdtkrbcb,hLLAAkbdceffgghgsqugxw,Face: 10
iLLwMQccbefhfgghqnhawggnk,hLLAAkbdceffgghgsqugxw,Face: 7
iLLLMQcbcfghhfhgebphjfnvj,hLLAPkbdedffgglvagksjs,Face: 12
iLLLPQcbdfhgehghxvdtkrbcb,hLLAPkbdedffgglvagksjs,Face: 11
hLLAAkaeddefggniadcoqw,iLLLMQccddefhgghlgfqfpnjk,Edge: 11
jLLALMQbdedgfhiiilvagbndask,iLLLMQccddefhgghlgfqfpnjk,Face: 14
jLLALMQbdedgfhiiilvagbndask,iLLAzQcbdedgfghhlvagknfen,Face: 14
jLLzMPQcdeghhfihilkaancjacj,iLLAzQcbdedgfghhlvagknfen,Face: 13
hLLAAkbdceffgghgsqugxw,iLLwMQccbefhfgghqnhawggnk,Edge: 11
jLLLzQQbcfeihiighebpehsqxjj,iLLwMQccbefhfgghqnhawggnk,Face: 11
jLLzMQPaceefghgiinkacvxxrhj,iLLPMMcaedefgfhhjtdxrtrhk,Face: 5
jLLMLAQbcdefghihiebbmwgphrk,iLLLMQccddfhggghtgfahoovj,Face: 10
jLLLLQQbcfgghhihiebpcwksnfs,iLLLMQccddfhggghtgfahoovj,Face: 9
jLLMLAQbcdefghihiebbmwgphrk,iLLPPPcacefeghghnkxwniqjn,Face: 12
jLLMwAQacefdghhiinktnjuxnqw,iLLPPPcacefeghghnkxwniqjn,Face: 10
jLLzMAQaceefghihijkxccqaqkn,iLLPPPcacefeghghnkxwniqjn,Face: 8
hLLLQkacgdgffgnknjkvkv,iLLMwQcacefdhghhnktnjtdgs,Edge: 11
jLLLLQQbcfgghhihiebpcwksnfs,iLLMwQcacefdhghhnktnjtdgs,Face: 12
jLLLAPQbcfgeihgiiebpheiqjrv,iLLMwQcacefdhghhnktnjtdgs,Face: 11
jLLMwAQacefdghhiinktnjuxnqw,iLLMwQcacefdhghhnktnjtdgs,Face: 7
hLLAPkbdedffgglvagksjs,iLLLMQcbcfghhfhgebphjfnvj,Edge: 11
jLLLAPQbcfgeihgiiebpheiqjrv,iLLLMQcbcfghhfhgebphjfnvj,Face: 13
jLLAvQQcddeghiiihtrvawulhmw,iLLLMQcbcfghhfhgebphjfnvj,Face: 10
jLLLPQPceffgghhiilhddlgfkdn,iLLLMQcbcfghhfhgebphjfnvj,Face: 7
jLLLLQQbcfgghhihiebpcwksnfs,iLLLAQcacgfgfhhhnkcrkrmxd,Face: 13
jLLLPPQbcfehigiihlshtbxwaln,iLLLAQcacgfgfhhhnkcrkrmxd,Face: 10
jLLLPQPceffghghiilhddlsbkdn,iLLLAQcacgfgfhhhnkcrkrmxd,Face: 8
jLLAvQQcddeghiiihtrvawulhmw,iLLALQccddegfghhtrvajnodw,Face: 12
jLLLPPQbcfehigiihlshtbxwaln,iLLALQccddegfghhtrvajnodw,Face: 11
jLLLAPQacgdfhihhinknjseidxj,iLLALQccddegfghhtrvajnodw,Face: 1
hLLAPkbdedffgglvagksjs,iLLLPQcbdfhgehghxvdtkrbcb,Edge: 10
jLLLzQQbcfeihiighebpehsqxjj,iLLLPQcbdfhgehghxvdtkrbcb,Face: 12
iLLAzQcbdedgfghhlvagknfen,jLLALMQbdedgfhiiilvagbndask,Edge: 11
