target,source,label
gLALQbcbeeffxhjsjhn,fLAMcbbcdeeemkxhs,Face: 10
gLAMPaccdeffjgbqhxj,fLAMcbbcdeeemkxhs,Face: 9
gLLPQcdcefffqsnalwn,fLAMcbbcdeeemkxhs,Face: 8
gLALQbcbeeffhxjgban,fLAMcbbcdeeemkxhs,Face: 7
hLLMAkaddeefggjuadjvhs,gLALQbcbeeffxhjsjhn,Face: 10
hLLAAkacdeefggjkadjdhk,gLAMPaccdeffjgbqhxj,Face: 10
hLLAAkcedefegglhvahaqn,gLLPQcdcefffqsnalwn,Face: 11
hLLAAkbcedefggtsafaohn,gLLPQcdcefffqsnalwn,Face: 10
hLLAAkbdedffggerdgasaj,gLLPQcdcefffqsnalwn,Face: 7
hLLAAkbddeffggdwgumvir,gLLPQcdcefffqsnalwn,Face: 5
fLAMcaccdeejsnqqn,gLALQbcbeeffhxjgban,Edge: 9
iLLPLQcccdffhgghqvfasqokn,hLLMAkaddeefggjuadjvhs,Face: 8
iLLPPPccdcfegghhqsnangsps,hLLMAkaddeefggjuadjvhs,Face: 7
iLLMPPcacdfgfghhjkafhbavk,hLLAAkacdeefggjkadjdhk,Face: 13
iLLMAMcbcdeffghhdfbmufuhj,hLLAAkacdeefggjkadjdhk,Face: 8
iLLPAMccdcfefghhqsnmqwxxk,hLLAAkacdeefggjkadjdhk,Face: 4
iLLAPPcccdefgghhqvvhsvjqj,hLLAAkcedefegglhvahaqn,Face: 13
iLLPLQcccdffhgghqvfasqokn,hLLAAkcedefegglhvahaqn,Face: 5
iLLMMPcbceefgghhtsauabclj,hLLAAkbcedefggtsafaohn,Face: 13
iLLAPPcceddgfghhtivngsfuw,hLLAAkbcedefggtsafaohn,Face: 11
iLLMAMcbcdeffghhdfbmufuhj,hLLAAkbcedefggtsafaohn,Face: 5
iLLAPPcccdefgghhqvvhsvjqj,hLLAAkbdedffggerdgasaj,Face: 13
iLvAMQcaefeghghhnxqbwawqt,hLLAAkbdedffggerdgasaj,Face: 12
iLLALQcbdedfhghherdgbdfpd,hLLAAkbdedffggerdgasaj,Face: 10
iLLAPPcceddgfghhtivngsfuw,hLLAAkbddeffggdwgumvir,Face: 12
iLLALQcbddefghhhdwgurkule,hLLAAkbddeffggdwgumvir,Face: 8
gLLAQacedeffnktiklw,fLAMcaccdeejsnqqn,Face: 9
gLLAQcceeefflnmqmhj,fLAMcaccdeejsnqqn,Face: 5
gLLQPacdedffjsxanxr,fLAMcaccdeejsnqqn,Face: 1
hLLAAkcedefegglhvahaqn,iLLPLQcccdffhgghqvfasqokn,Edge: 12
jLvAMQPadfdgfghiinxxrgbraxr,iLLPPPccdcfegghhqsnangsps,Face: 5
jLLLMPQcddegghhiilgfmnjxeoj,iLLMPPcacdfgfghhjkafhbavk,Face: 12
jLLMLQPaceffgghiinktbjhxbqj,iLLMPPcacdfgfghhjkafhbavk,Face: 8
hLLAAkbcedefggtsafaohn,iLLMAMcbcdeffghhdfbmufuhj,Edge: 12
