target,source,label
gLLPQcdcfeffqsneqgf,fLLQccceddepwxwwj,Face: 10
gLLPQcdcfeefqcnqawk,fLLQccceddepwxwwj,Face: 9
gLALQbcbeeffhhjcvqj,fLLQccceddepwxwwj,Face: 8
gLLAQcbdeeffljbmtwn,fLLQccceddepwxwwj,Face: 7
hLLAAkbdedffgglvprxbmn,gLLPQcdcfeffqsneqgf,Face: 12
hLLAAkcedeefgghlvaqxhk,gLLPQcdcfeffqsneqgf,Face: 7
hLLAAkbcdeefggmbraawqn,gLLPQcdcfeffqsneqgf,Face: 6
hLLAAkbddeefgghgfuekhn,gLLPQcdcfeffqsneqgf,Face: 1
hLLMAkacedffggnktrkbqr,gLLPQcdcfeefqcnqawk,Face: 12
hLLAAkaeddefggjmadcoxr,gLLPQcdcfeefqcnqawk,Face: 7
hLALPkbcbefgggxxjniaov,gLALQbcbeeffhhjcvqj,Face: 7
hLLAAkbdedffgglvprxbmn,gLLAQcbdeeffljbmtwn,Face: 12
hLLAAkbdceffgghgwqpgqr,gLLAQcbdeeffljbmtwn,Face: 11
hLLMPkacdefgfgnkanjinj,gLLAQcbdeeffljbmtwn,Face: 9
gLLAQcbdeeffljbmtwn,hLLAAkbdedffgglvprxbmn,Edge: 11
iLLLQPccddfgfghhhsgesgbtk,hLLAAkbdedffgglvprxbmn,Face: 6
iLLLQMcccfgfefhhqfahlnfqn,hLLAAkcedeefgghlvaqxhk,Face: 6
iLLAPPcbddeggghhhgflwbshj,hLLAAkcedeefgghlvaqxhk,Face: 4
iLALLQccbbefhghhhhkoxjsrs,hLLAAkbcdeefggmbraawqn,Face: 8
iLLLQMcbdeeggghhmvaapjsxr,hLLAAkbcdeefggmbraawqn,Face: 5
iLLLQMcbdeeffghhmvmmdbshk,hLLAAkbcdeefggmbraawqn,Face: 4
iLLLQPccddfgfghhhsgesgbtk,hLLAAkbddeefgghgfuekhn,Face: 14
iLvzQQcccfehghghhnhqfbkro,hLLAAkbddeefgghgfuekhn,Face: 8
iLLLPQccefhfggghtqhqqckkw,hLLAAkbddeefgghgfuekhn,Face: 5
iLLLMQccddefhgghtgfqfinwn,hLLMAkacedffggnktrkbqr,Face: 12
iLLAzQcbdedfghghlvagkfinw,hLLMAkacedffggnktrkbqr,Face: 9
iLLLMQcbcgdfghghebhjjblvw,hLLMAkacedffggnktrkbqr,Face: 5
iLLLMQccddefhgghtgfqfinwn,hLLAAkaeddefggjmadcoxr,Face: 11
iLLLQMcccfgfefhhqfahlnfqn,hLLAAkaeddefggjmadcoxr,Face: 9
iLALLQccbbefhghhhhkoxjsrs,hLALPkbcbefgggxxjniaov,Face: 7
iLLLMQcbcgdfghghebhjjblvw,hLLAAkbdceffgghgwqpgqr,Face: 5
iLvAQPcadfeggfhhjaacvkkqj,hLLMPkacdefgfgnkanjinj,Face: 5
hLLAAkbddeefgghgfuekhn,iLLLQPccddfgfghhhsgesgbtk,Edge: 10
jLLLAAQbedgehghiihhfeaerqvj,iLLLQPccddfgfghhhsgesgbtk,Face: 12
hLLAAkaeddefggjmadcoxr,iLLLQMcccfgfefhhqfahlnfqn,Edge: 12
jLLPPMPcdfeegghiihsmlubviqn,iLLAPPcbddeggghhhgflwbshj,Face: 10
jLLAzPQcdecggihiihshnwolmrg,iLLAPPcbddeggghhhgflwbshj,Face: 7
jLLvQQPcdhfghfhiihgxxwrfchn,iLLAPPcbddeggghhhgflwbshj,Face: 6
hLALPkbcbefgggxxjniaov,iLALLQccbbefhghhhhkoxjsrs,Edge: 12
jLALLMQcbbefghiiihhkoxgcaih,iLALLQccbbefhghhhhkoxjsrs,Face: 9
jLALLMQcbbefgihiihhkoxwakih,iLALLQccbbefhghhhhkoxjsrs,Face: 8
jLALLMQcbbefghiiihhkoxgcaih,iLLLQMcbdeeggghhmvaapjsxr,Face: 10
jLLLQPPcdfefgghiiikqhtrwhxj,iLLLQMcbdeeggghhmvaapjsxr,Face: 6
jLLLAQPbdeggfghiimvatpwohxj,iLLLQMcbdeeggghhmvaapjsxr,Face: 2
jLALLMQcbbefgihiihhkoxwakih,iLLLQMcbdeeffghhmvmmdbshk,Face: 10
jLLAzPQcdecggihiihshnwolmrg,iLLLQMcbdeeffghhmvmmdbshk,Face: 6
jLLLAQPbdeggfghiimkatpwshxj,iLLLQMcbdeeffghhmvmmdbshk,Face: 2
jLLLQPPcdfefgghiihsiptgcuqw,iLvzQQcccfehghghhnhqfbkro,Face: 10
jLLLQPPcdfefgghiiikqhtrwhxj,iLvzQQcccfehghghhnhqfbkro,Face: 5
jLvPMPQccefhigihiqnqhwxfhkm,iLvzQQcccfehghghhnhqfbkro,Face: 4
jLLLAAQbedgehghiihhfeaerqvj,iLLLPQccefhfggghtqhqqckkw,Face: 16
jLLLQPPcdfefgghiihsiptgcuqw,iLLLPQccefhfggghtqhqqckkw,Face: 10
hLLAAkaeddefggjmadcoxr,iLLLMQccddefhgghtgfqfinwn,Edge: 11
jLLALMQbdedfhgiiilvagshnabs,iLLLMQccddefhgghtgfqfinwn,Face: 14
jLLLAPQadeefgihiijuxvcrxxgv,iLLLMQccddefhgghtgfqfinwn,Face: 12
jLLLAPQcddfgiigihukftsdajrr,iLLLMQccddefhgghtgfqfinwn,Face: 8
jLLALMQbdedfhgiiilvagshnabs,iLLAzQcbdedfghghlvagkfinw,Face: 14
hLLAAkbdceffgghgwqpgqr,iLLLMQcbcgdfghghebhjjblvw,Edge: 11
jLLLAPQadeefgihiijuxvcrxxgv,iLLLMQcbcgdfghghebhjjblvw,Face: 14
hLLAPkbcedgffglsajjjjk,iLvAQPcadfeggfhhjaacvkkqj,Edge: 12
iLLLPQccefhfggghtqhqqckkw,jLLLAAQbedgehghiihhfeaerqvj,Edge: 15
kLALvAQkcbbeigjijijhhkorwaomcl,jLLPPMPcdfeegghiihsmlubviqn,Face: 12
kLvPwMQkccefghijjijhnphfnphdqk,jLLPPMPcdfeegghiihsmlubviqn,Face: 11
iLLLQMcbdeeffghhmvmmdbshk,jLLAzPQcdecggihiihshnwolmrg,Edge: 12
kLALLAMkcbbegghijjjhhkolnohdrw,jLLAzPQcdecggihiihshnwolmrg,Face: 12
kLLAzLQkcdecgijhijjhshnwlamrnc,jLLAzPQcdecggihiihshnwolmrg,Face: 6
kLvPwMQkccefghijjijhnphfnphdqk,jLLvQQPcdhfghfhiihgxxwrfchn,Face: 12
kLLvMQAkcdfigfgiijjqfanrssjsqn,jLLvQQPcdhfghfhiihgxxwrfchn,Face: 4
iLLLQMcbdeeggghhmvaapjsxr,jLALLMQcbbefghiiihhkoxgcaih,Edge: 11
kLALvAQkcbbeihjjijihhkorndpops,jLALLMQcbbefghiiihhkoxgcaih,Face: 13
kLALLPMkcbbefhiijjjhhkoxriqptc,jLALLMQcbbefghiiihhkoxgcaih,Face: 2
iLLLQMcbdeeffghhmvmmdbshk,jLALLMQcbbefgihiihhkoxwakih,Edge: 11
kLALLAMkcbbegghijjjhhkolnohdrw,jLALLMQcbbefgihiihhkoxwakih,Face: 13
kLALLPMkcbbefhiijjjhhkoxbiqtpk,jLALLMQcbbefgihiihhkoxwakih,Face: 2
iLvzQQcccfehghghhnhqfbkro,jLLLQPPcdfefgghiiikqhtrwhxj,Edge: 12
kLALvAQkcbbeihjjijihhkorndpops,jLLLQPPcdfefgghiiikqhtrwhxj,Face: 12
kLLLLQAkccffghghijjdwarbonnnqw,jLLLQPPcdfefgghiiikqhtrwhxj,Face: 6
kLALLPMkcbbefhiijjjhhkoxriqptc,jLLLAQPbdeggfghiimvatpwohxj,Face: 12
kLLPvQPkcdefhhijiijhoamcfihtej,jLLLAQPbdeggfghiimvatpwohxj,Face: 9
kLLLLQAkccffghghijjdwarbonnnqw,jLLLAQPbdeggfghiimvatpwohxj,Face: 8
kLLLMzQkbedghgjiiijxxbissxlxur,jLLLAQPbdeggfghiimvatpwohxj,Face: 2
kLALLPMkcbbefhiijjjhhkoxbiqtpk,jLLLAQPbdeggfghiimkatpwshxj,Face: 12
kLLvQMPkcdghhgijiijhkuhffhhetn,jLLLAQPbdeggfghiimkatpwshxj,Face: 9
kLLAzLQkcdecgijhijjhshnwlamrnc,jLLLAQPbdeggfghiimkatpwshxj,Face: 8
kLLLPPAkbdehghghijjmvmqfrsbuqn,jLLLAQPbdeggfghiimkatpwshxj,Face: 2
iLLLPQccefhfggghtqhqqckkw,jLLLQPPcdfefgghiihsiptgcuqw,Edge: 11
kLALvAQkcbbeihjjiijhhkoroqaocl,jLLLQPPcdfefgghiihsiptgcuqw,Face: 7
kLvzMPQkccfighjjhijhnhwbkxhooq,jLvPMPQccefhigihiqnqhwxfhkm,Face: 5
iLLAzQcbdedfghghlvagkfinw,jLLALMQbdedfhgiiilvagshnabs,Edge: 11
kLLLwMQkcddfijghjijukfttejdrgr,jLLALMQbdedfhgiiilvagshnabs,Face: 13
iLLLMQcbcgdfghghebhjjblvw,jLLLAPQadeefgihiijuxvcrxxgv,Edge: 11
kLLLLMQkcbehhighjjjlnqornvfdqm,jLLLAPQadeefgihiijuxvcrxxgv,Face: 13
iLLMMMcbeefdgghhhhamnwwaw,jLLLAPQcddfgiigihukftsdajrr,Edge: 11
kLLLwMQkcddfijghjijukfttejdrgr,jLLLAPQcddfgiigihukftsdajrr,Face: 16
kLLLLMQkcbehhighjjjlnqornvfdqm,jLLLAPQcddfgiigihukftsdajrr,Face: 14
gLLMQbecfdffxxsawvc,hLLAPkbcedgffglsajjjjk,Edge: 8
jLLvQQPcdhfghfhiihgxxwrfchn,kLvPwMQkccefghijjijhnphfnphdqk,Edge: 12
jLALLMQcbbefgihiihhkoxwakih,kLALLAMkcbbegghijjjhhkolnohdrw,Edge: 16
jLLLAQPbdeggfghiimkatpwshxj,kLLAzLQkcdecgijhijjhshnwlamrnc,Edge: 14
jLLLQPPcdfefgghiiikqhtrwhxj,kLALvAQkcbbeihjjijihhkorndpops,Edge: 16
jLLLAQPbdeggfghiimvatpwohxj,kLALLPMkcbbefhiijjjhhkoxriqptc,Edge: 13
jLLLAQPbdeggfghiimkatpwshxj,kLALLPMkcbbefhiijjjhhkoxbiqtpk,Edge: 13
jLLLAQPbdeggfghiimvatpwohxj,kLLLLQAkccffghghijjdwarbonnnqw,Edge: 13
jLLLMPQbefehhghiixxdxtbcbqr,kLLLwMQkcddfijghjijukfttejdrgr,Edge: 13
jLLLAPQcddfgiigihukftsdajrr,kLLLwMQkcddfijghjijukfttejdrgr,Edge: 12
jLLLLQQcediihihghlqfrgvggks,kLLLLMQkcbehhighjjjlnqornvfdqm,Edge: 13
