target,source,label
gLLPQcdcfeffqsjeqcs,fLAMcbccdeehhnxhw,Face: 10
gLLAQcceeeffljiadxn,fLAMcbccdeehhnxhw,Face: 8
gLLAQbcdeeffhvbmtwr,fLAMcbccdeehhnxhw,Face: 6
hLLMAkbcdfefgglskmqrhn,gLLPQcdcfeffqsjeqcs,Face: 12
hLALPkcbbegfgghqjomxgf,gLLPQcdcfeffqsjeqcs,Face: 11
hLLAAkbcedefggasxfashr,gLLPQcdcfeffqsjeqcs,Face: 1
hLLMMkbcdeffgglsbhtrhk,gLLAQcceeeffljiadxn,Face: 12
hLLAAkccedefggqgifqsxk,gLLAQcceeeffljiadxn,Face: 10
hLLMMkbcdefgfgebbuuqwj,gLLAQcceeeffljiadxn,Face: 9
hLLMMkbcdeffggtkbhxkis,gLLAQcceeeffljiadxn,Face: 6
hLLAAkbcedefggajhfajxk,gLLAQcceeeffljiadxn,Face: 4
hLLMAkbcdfefgglskmqrhn,gLLAQbcdeeffhvbmtwr,Face: 12
hLLMMkbcdeffgglsbhtrhk,gLLAQbcdeeffhvbmtwr,Face: 10
hLLLQkacefggfgjkfjkofw,gLLAQbcdeeffhvbmtwr,Face: 9
hLLMMkccdfefggqjvhinpk,gLLAQbcdeeffhvbmtwr,Face: 8
gLLAQbcdeeffhvbmtwr,hLLMAkbcdfefgglskmqrhn,Edge: 11
iLLMMPcbceefgghhasxdabcln,hLLMAkbcdfefgglskmqrhn,Face: 7
gLAPPbcbeeffhxwknak,hLALPkcbbegfgghqjomxgf,Edge: 9
iLALLQcbcbeghhghhxwnakkvc,hLALPkcbbegfgghqjomxgf,Face: 5
iLLMMPcbceefgghhasxdabcln,hLLAAkbcedefggasxfashr,Face: 14
iLLAMMcbeedffghhaaekawnxk,hLLAAkbcedefggasxfashr,Face: 13
iLLMMPcbceefgghhasxdabcln,hLLAAkbcedefggasxfashr,Face: 8
gLLAQbcdeeffhvbmtwr,hLLMMkbcdeffgglsbhtrhk,Edge: 11
iLLMLQcaceehhgghjktfpdmmb,hLLMMkbcdeffgglsbhtrhk,Face: 11
iLLAwQcbdedfhhhglraslaurk,hLLMMkbcdeffgglsbhtrhk,Face: 8
iLLLMQcacfgghfhhjkggkpkxp,hLLMMkbcdeffgglsbhtrhk,Face: 4
iLLMLQcaceefghhhjktfoemgb,hLLAAkccedefggqgifqsxk,Face: 11
gLLQPacdedffjsaajxk,hLLMMkbcdefgfgebbuuqwj,Edge: 9
iLLMwQcacedfghhhjktrkumjn,hLLMMkbcdefgfgebbuuqwj,Face: 13
iLLwMQcacefhfhghjktopomwv,hLLMMkbcdefgfgebbuuqwj,Face: 11
iLLAPMcccdegffhhakvhvvnqj,hLLMMkbcdefgfgebbuuqwj,Face: 5
iLLLPQcacfgghfhhjkgkbpkxl,hLLMMkbcdeffggtkbhxkis,Face: 14
iLLMLQcaceefghhhjktfoemgb,hLLMMkbcdeffggtkbhxkis,Face: 12
iLLwMQcacefhfhghjktopomwv,hLLMMkbcdeffggtkbhxkis,Face: 11
iLLALQcbdedfhghhtvagshfui,hLLMMkbcdeffggtkbhxkis,Face: 10
iLLLAQccddfghghhlgfaglcmi,hLLMMkbcdeffggtkbhxkis,Face: 8
iLvLQQcaegfhhfghnxgrrrbwr,hLLMMkbcdeffggtkbhxkis,Face: 7
iLLMLQcaceehhgghjktfpdmmb,hLLAAkbcedefggajhfajxk,Face: 14
iLLLQMcbefgfefhhaadudtvxk,hLLAAkbcedefggajhfajxk,Face: 11
iLLMLQcaceehhgghjktfpdmmb,hLLAAkbcedefggajhfajxk,Face: 8
iLLLPQcacfgfhghhjkgkruvmh,hLLLQkacefggfgjkfjkofw,Face: 13
iLLPLQcacfeghhghjkefahpmf,hLLLQkacefggfgjkfjkofw,Face: 12
iLvLQQcaegfhhfghnxgrrrbwr,hLLLQkacefggfgjkfjkofw,Face: 5
iLvLQQcaeefhgghhnxgrncoor,hLLLQkacefggfgjkfjkofw,Face: 4
iLLAPPcbddegfghhevoprgkxj,hLLMMkccdfefggqjvhinpk,Face: 12
iLLMzQcacdeghghhjkaneepan,hLLMMkccdfefggqjvhinpk,Face: 11
iLLPzQcccdfgfghhqjsasfohk,hLLMMkccdfefggqjvhinpk,Face: 4
hLLAAkbcedefggasxfashr,iLLMMPcbceefgghhasxdabcln,Edge: 10
jLLMPLQacdefghiiijkanjivvkk,iLLMMPcbceefgghhasxdabcln,Face: 7
jLLLMMQbedeghghiiaafmjrgclj,iLLMMPcbceefgghhasxdabcln,Face: 2
jLALLAQcbbefhgiiihqjoxjsapp,iLALLQcbcbeghhghhxwnakkvc,Face: 7
jLLLMMQbedeghghiiaafmjrgclj,iLLAMMcbeedffghhaaekawnxk,Face: 13
jLALLAQcbbefhgiiihqjoxjsapp,iLLAMMcbeedffghhaaekawnxk,Face: 7
jLLLMAQbedghhgihiaafhjjsxjk,iLLAMMcbeedffghhaaekawnxk,Face: 1
hLLAAkbcedefggajhfajxk,iLLMLQcaceehhgghjktfpdmmb,Edge: 10
jLLAzAQcddefhghiihrraotgifj,iLLMLQcaceehhgghjktfpdmmb,Face: 7
jLLLMAQcdefgfhhiiacpabfnoer,iLLMLQcaceehhgghjktfpdmmb,Face: 6
jLLLAAQbedgeghhiiaaflinmlvj,iLLMLQcaceehhgghjktfpdmmb,Face: 2
jLLvMQQcdfgifiihhtcagjforkj,iLLAwQcbdedfhhhglraslaurk,Face: 9
jLLAPLQceddfgiihipqvnnvhejr,iLLAwQcbdedfhhhglraslaurk,Face: 8
jLLALPQbdedfgihhilrasvsppks,iLLAwQcbdedfhhhglraslaurk,Face: 7
jLLAvQQbdedihgiihlrasqhshxk,iLLAwQcbdedfhhhglraslaurk,Face: 5
jLLwzQQacdfgighiijkaklambsw,iLLLMQcacfgghfhhjkggkpkxp,Face: 13
