target,source,label
gLAMPaccdeffjgnqqqs,fLAMcbbcdeedhwhhw,Face: 10
gLALQbcbeeffhhwcvaw,fLAMcbbcdeedhwhhw,Face: 9
gLLPQcdcefffhsrpunw,fLAMcbbcdeedhwhhw,Face: 8
gLAMPbbcdeffdhgxhhr,fLAMcbbcdeedhwhhw,Face: 7
hLLAAkacdeefggjkaiwaxn,gLAMPaccdeffjgnqqqs,Face: 12
hLALPkcbbegffghhrkahsn,gLAMPaccdeffjgnqqqs,Face: 3
fLAMcaccdeensnaxk,gLALQbcbeeffhhwcvaw,Edge: 11
hLLAAkbcedefggtsaflsxn,gLLPQcdcefffhsrpunw,Face: 12
hLLAAkbdedffggdwpgablj,gLLPQcdcefffhsrpunw,Face: 5
hLAMzkaccdefggngbqhxxk,gLAMPbbcdeffdhgxhhr,Face: 1
iLLMPMcacdegfghhjkaopnasw,hLLAAkacdeefggjkaiwaxn,Face: 11
iLLzQMccdcegfghhqojqjfoar,hLLAAkacdeefggjkaiwaxn,Face: 9
iLLAMMccedefgfhhquvdxskhr,hLLAAkacdeefggjkaiwaxn,Face: 7
iLLPAMccdcfefghhhsrdtnhhr,hLLAAkacdeefggjkaiwaxn,Face: 6
iLLLQMcaeedffghhnliwrrshr,hLALPkcbbegffghhrkahsn,Face: 14
gLLAQaedeeffjmueffj,fLAMcaccdeensnaxk,Face: 9
gLLAQbceeefftsxlixn,fLAMcaccdeensnaxk,Face: 5
gLLPQcdcfeefqcjhawr,fLAMcaccdeensnaxk,Face: 1
iLLLAQccdeffgghhdstatkkaj,hLLAAkbcedefggtsaflsxn,Face: 13
iLLLQMcbdegefghhdwmpljolj,hLLAAkbcedefggtsaflsxn,Face: 11
iLLzQMccdcegfghhqojqjfoar,hLLAAkbcedefggtsaflsxn,Face: 6
iLLAAMcbcedffghhtsafhgiqj,hLLAAkbcedefggtsaflsxn,Face: 5
iLLLQMcbdegefghhdwmpljolj,hLLAAkbdedffggdwpgablj,Face: 14
iLLLMQccedghfghhptrxwfjor,hLLAAkbdedffggdwpgablj,Face: 8
jLLAzPQbdedgghhiitvaggfqhsn,iLLMPMcacdegfghhjkaopnasw,Face: 16
jLLLQPPcddfgfhhiilgfaggixgn,iLLMPMcacdegfghhjkaopnasw,Face: 14
jLLwMMQacefgghhiijktrlxmvgk,iLLMPMcacdegfghhjkaopnasw,Face: 13
jLLMMPPaceefgghiijktfrmmgxn,iLLMPMcacdegfghhjkaopnasw,Face: 10
jLLMLAQaceehghhiijkaglxxjow,iLLMPMcacdegfghhjkaopnasw,Face: 4
hLLAAkbcedefggtsaflsxn,iLLzQMccdcegfghhqojqjfoar,Edge: 12
jLLMLQPaceffghhiijktgfaukqj,iLLzQMccdcegfghhqojqjfoar,Face: 15
jLLwMMQacefgghhiijktrlxmvgk,iLLzQMccdcegfghhqojqjfoar,Face: 13
jLLAzMQcedcghghiihqbrjmkmfj,iLLzQMccdcegfghhqojqjfoar,Face: 4
jLLALQPbdceghggiievnlvacgxk,iLLAMMccedefgfhhquvdxskhr,Face: 8
jLLAwQPbdeefhggiievdhamkrqj,iLLAMMccedefgfhhquvdxskhr,Face: 6
jLLMMPPaceefgghiijktfrmmgxn,iLLPAMccdcfefghhhsrdtnhhr,Face: 13
jLvPMAQccefhfhihihrxhjcoxok,iLLPAMccdcfefghhhsrdtnhhr,Face: 6
jLLPzQPcdcfgfghiihsravfohxn,iLLPAMccdcfefghhhsrdtnhhr,Face: 5
jLLPLQPcdcfgghgiihsrajfaoqs,iLLPAMccdcfefghhhsrdtnhhr,Face: 4
jLLALQPbdceghggiievnlvacgxk,iLLLQMcaeedffghhnliwrrshr,Face: 8
jLLzPMQcdcehghgiihsrngksnps,iLLLQMcaeedffghhnliwrrshr,Face: 4
