target,source,label
fLLQcaddeeenidpxc,eLAkaccddjsjak,Face: 7
fLAMcaccdeennbaxr,eLAkaccddjsjak,Face: 5
fLLQcaddeeejmdpxc,eLAkaccddjsjak,Face: 4
fLAMcaccdeejnbaxk,eLAkaccddjsjak,Face: 3
gLvQQaefdeffnhxhfrb,fLLQcaddeeenidpxc,Face: 10
gLLPQccdefffpfopibf,fLLQcaddeeenidpxc,Face: 9
gLLAQcddeefflgwamnr,fLLQcaddeeenidpxc,Face: 8
gLLAQadedeffnillsfj,fLLQcaddeeenidpxc,Face: 7
gLLMQccdfeffubwxhjk,fLLQcaddeeenidpxc,Face: 6
gLLMQbdcefffansuuwr,fLLQcaddeeenidpxc,Face: 4
gLLMQbdedeffasqfxjw,fLLQcaddeeenidpxc,Face: 3
gLLAQbecdeffamrfufr,fLLQcaddeeenidpxc,Face: 2
gLLMQadefeffnxumcnb,fLLQcaddeeenidpxc,Face: 1
gLALQaccfeffnnbebpa,fLAMcaccdeennbaxr,Face: 9
gLLAQbceeefflrqiixj,fLAMcaccdeennbaxr,Face: 7
gLLAQaedefefjaperrk,fLAMcaccdeennbaxr,Face: 4
gLALQbcbeeffhajofhw,fLAMcaccdeennbaxr,Face: 2
gLLAQacdefefnbqaqkn,fLAMcaccdeennbaxr,Face: 1
gLLPQccdefffpfopibf,fLLQcaddeeejmdpxc,Face: 9
gLLAQbddeffftvkhlkw,fLLQcaddeeejmdpxc,Face: 8
gLLAQadedeffjmllsfj,fLLQcaddeeejmdpxc,Face: 7
gLLAQcddeefftgwamnn,fLLQcaddeeejmdpxc,Face: 6
gLvQQaefdeffjhehfrb,fLLQcaddeeejmdpxc,Face: 5
gLLAQcdceeffawritwn,fLLQcaddeeejmdpxc,Face: 4
gLLAQbecdeffamnfufk,fLLQcaddeeejmdpxc,Face: 3
gLLAQaedefffjtepwbj,fLLQcaddeeejmdpxc,Face: 2
gLLMQbdcfeffajwhhwr,fLLQcaddeeejmdpxc,Face: 1
gLLAQbceeefflruiixn,fLAMcaccdeejnbaxk,Face: 9
gLALQaccfeffjnbdble,fLAMcaccdeejnbaxk,Face: 7
gLALQbcbeeffhawofhs,fLAMcaccdeejnbaxk,Face: 4
gLLAQaedefefnaperrj,fLAMcaccdeejnbaxk,Face: 3
gLLAQacdefefjbqaqkj,fLAMcaccdeejnbaxk,Face: 2
hLLLQkbcgfegfgdfdedrrc,gLvQQaefdeffnhxhfrb,Face: 12
hLLzQkcdegegfglwaulvkf,gLvQQaefdeffnhxhfrb,Face: 9
hLvAQkadffegggjuqrcffw,gLvQQaefdeffnhxhfrb,Face: 8
hLvPQkafeegfggjqqsbsjj,gLvQQaefdeffnhxhfrb,Face: 7
hLLAAkcedeffgglpvauuhk,gLvQQaefdeffnhxhfrb,Face: 6
hLLPPkcdfeefggafeeqokw,gLvQQaefdeffnhxhfrb,Face: 4
fLLQcaddeeejmdpxc,gLLPQccdefffpfopibf,Edge: 12
hLLMPkbddegfggtvjpbogg,gLLPQccdefffpfopibf,Face: 12
hLLMPkbcdegfggdfbqkfss,gLLPQccdefffpfopibf,Face: 11
hLLLQkbcfgefggeshpevvf,gLLPQccdefffpfopibf,Face: 10
hLLAPkbdedgfgglrasjvgs,gLLPQccdefffpfopibf,Face: 9
hLLAAkccedffggubmganlr,gLLPQccdefffpfopibf,Face: 8
hLLAPkbdedgfggtrasbvgs,gLLPQccdefffpfopibf,Face: 7
hLLLQkcddgfgfghrgucvfc,gLLPQccdefffpfopibf,Face: 6
hLLLQkbcfgefggdvhadwwf,gLLPQccdefffpfopibf,Face: 5
hLLMPkbcdegfggebbujsss,gLLPQccdefffpfopibf,Face: 4
hLLAAkccedffggpvmnanlk,gLLPQccdefffpfopibf,Face: 3
hLLLQkbddefggghgregrog,gLLPQccdefffpfopibf,Face: 2
hLLMPkbddegfgglvjpjogg,gLLPQccdefffpfopibf,Face: 1
hLLLQkbdggeffglvqqtgcw,gLLAQcddeefflgwamnr,Face: 12
hLLAPkbcdefgggdfbxjvvc,gLLAQcddeefflgwamnr,Face: 11
hLLAAkbddeefggxwrxxrxk,gLLAQcddeefflgwamnr,Face: 9
hLLLQkbdeefgfghgpmpojk,gLLAQcddeefflgwamnr,Face: 8
hLLLQkadeegfggnxxccnof,gLLAQcddeefflgwamnr,Face: 7
hLLLQkbdeegggferqqmwsn,gLLAQcddeefflgwamnr,Face: 6
hLLLQkacegffggjkswbjww,gLLAQcddeefflgwamnr,Face: 5
hLLAAkccedffgglbpnabqj,gLLAQcddeefflgwamnr,Face: 4
hLLLQkadegefggnixwccss,gLLAQcddeefflgwamnr,Face: 3
hLLAPkbecdfgggeiwsjfkw,gLLAQcddeefflgwamnr,Face: 2
hLLLQkcefgeffguaqeqirk,gLLAQcddeefflgwamnr,Face: 1
fLLQcadddeejhahqw,gLLAQadedeffnillsfj,Edge: 8
hLLLQkbcdgffggdfnakjrg,gLLAQadedeffnillsfj,Face: 12
hLLAMkbdedffgglvarxktk,gLLAQadedeffnillsfj,Face: 11
hLLAPkbcedfgfgajhfjsns,gLLAQadedeffnillsfj,Face: 9
hLvAQkadeefgfgjepcfonk,gLLAQadedeffnillsfj,Face: 8
hLLAAkbdecffggxvhnacxj,gLLAQadedeffnillsfj,Face: 7
hLLMMkacdeffggjbacvban,gLLAQadedeffnillsfj,Face: 6
hLLAPkceddfgfgahvkckjr,gLLAQadedeffnillsfj,Face: 5
hLLAAkbdeeffggtvadxxtj,gLLAQadedeffnillsfj,Face: 4
hLLLQkadgegffgnimssvvo,gLLAQadedeffnillsfj,Face: 3
hLLAAkaddeefggnidpcoaj,gLLAQadedeffnillsfj,Face: 1
hLLLQkbcgfegfgdfdedrrc,gLLMQccdfeffubwxhjk,Face: 12
hLLLQkcefefgggptxddpsj,gLLMQccdfeffubwxhjk,Face: 11
hLLAPkbcdefgggdfbxjvvc,gLLMQccdfeffubwxhjk,Face: 10
hLLAMkbdedffgglvarxktk,gLLMQccdfeffubwxhjk,Face: 9
hLLMPkbdedfgggtvqffcgw,gLLMQccdfeffubwxhjk,Face: 8
hvLPQkcdefgfggkjfeiper,gLLMQccdfeffubwxhjk,Face: 7
hLLMMkcedffgggltveebcb,gLLMQccdfeffubwxhjk,Face: 6
hLvAQkbeffegggtqeamuwf,gLLMQccdfeffubwxhjk,Face: 5
hLLLQkbdeefgggasuxdvvj,gLLMQccdfeffubwxhjk,Face: 4
hLLAMkbcedffggtcaranij,gLLMQccdfeffubwxhjk,Face: 3
